AmountSaved,Shranjeni znesek
ScotApp_206,Možnosti bodo naložene.
ScotApp_106,Potrebna je asistenca
ScotApp_1209,LIMIT KREDITNE KARTICE PRESEŽEN
ScotApp_806,Odobri vizualno overjene izdelke
ScotApp_1067,1067neuporabljenih
ScotApp_1418,Maksimalna dovoljena teža je presežena.
ScotApp_1473,"Naprava ni pripravljena. \n\nVklopite napajanje, preverite komunikacijski kabel ali dajte enoto nazaj v predalnik.  "
ScotApp_187,187neuporabljenih
ScotApp_1716,WE:
ScotApp_1190,VNESEN KUPON
ScotApp_1602,     Stanje koša avtomata za izdajo kartic je nizko (%s)
ScotApp_1149,Napaka tiskalnika računa
ScotApp_1066,1066neuporabljenih
ScotApp_1614,Koš avtomata za izdajo
ScotApp_792,792neuporabljenih
ScotApp_692,692neuporabljenih
ScotApp_592,NCR SelfServ kodirnik blagajne je naložen.
ScotApp_492,"Prosim, vzemite drobiž."
ScotApp_392,Neznani izdelki
ScotApp_292,Ni mogoče skenirati kupona
ScotApp_192,192neuporabljenih
ScotApp_1241,KREDIT
ScotApp_1197,PREKLICANA TRANSAKCIJA
ScotApp_1548,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_992,Vnesi rojstni dan
ScotApp_892,Pametna tehtnica se končuje ...
ScotApp_1053,"Počakajte na asistenta, da prinese za podpisati listek."
ScotApp_1404,"POS strežnik se je zrušil ali pa ni sinhroniziran prosim, izklopite terminal s stikalom."
ScotApp_1245,PREVERJANJE DOLGA
ScotApp_1262,OPREDELJENUPORABNIK4
ScotApp_1471,Napaka ločevalnika kovancev
ScotApp_1196,ŠTEVILKA VOZNIŠKEGA DOKUMENTA
ScotApp_1052,1052neuporabljenih
ScotApp_1600,Status avtomata za izdajo kartic:
ScotApp_1663,koš je prazen ali nakopičen
ScotApp_1261,OPREDELJENUPORABNIK3
ScotApp_1125,"Napolnite vse kanale do vrha v magazin kovancev.\n\nPojdite v način trgovine, izberite ""Status gotovine/papirja"" in pritisnite gumb ""Napolnjen avtomat za izdajo kovancev""."
ScotApp_1183,PRIKAZOVANJE CENE
ScotApp_1470,Napaka ločevalnika računa
ScotApp_1195,CSA ZAČASNO ZAUSTAVLJEN
ScotApp_1229,POKLICAN ASISTENT
ScotApp_1051,Odobritev listka
ScotApp_1607,     Koš zavrnjenih je običajen (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747neuporabljenih
ScotApp_647,N
ScotApp_447,Račun zveste stranke je bil aktiviran.
ScotApp_347,"Izdelek z omejitvami je bil preklican – starostna meja ni znana. Prosim, postavite izdelek na stran."
ScotApp_247,247neuporabljenih
ScotApp_147,147neuporabljenih
ScotApp_1260,OPREDELJENUPORABNIK2
ScotApp_1619,Zač. zaust.
ScotApp_769,Potrdite ali prekličite začasno zaustavitev.
ScotApp_947,Nov tehtan izdelek
ScotApp_847,Končano skeniranje
ScotApp_1477,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_726,726neuporabljenih
ScotApp_626,Odstopanje:
ScotApp_526,\nNapačna vnesena PIN številka.\nPotegnite drugo kartico\n   -ali-\nPlačajte z gotovino
ScotApp_426,Vrsta ##:
ScotApp_326,Datum rojstva ne ustreza starostni omejitvi za izdelke z omejitvami.
ScotApp_226,Čitalec kartic ne deluje
ScotApp_126,(mmddll).
ScotApp_1606,     Koš zavrnjenih je običajen
ScotApp_926,Izdelki niso bili vrnjeni v vrečke.
ScotApp_826,Ne želim dati tega izdelka v\nvrečko
ScotApp_1267,OPREDELJENUPORABNIK9
ScotApp_1618,"Ni kasete avtomata za izdajo bankovcev ali pa ni popolnoma vstavljena.\n\nNamestite ali ponovno vstavite kaseto za bankovce, da zaskoči."
ScotApp_1181,PRESEŽEN PRAG KUPONA
ScotApp_205,Kopiranje je zaključeno.
ScotApp_105,Neznan izdelek
ScotApp_1476,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1730,Iskati
ScotApp_1390,Naprava se ne odziva
ScotApp_805,Odobri izdelke
ScotApp_1864,Pojdite v vrsto.
ScotApp_1408,ASISTENCA
ScotApp_1266,OPREDELJENUPORABNIK8
ScotApp_1180,NI UJEMANJA CENE
ScotApp_1208,PRODANO V NAČINU ASISTENCE
ScotApp_1475,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1397,Udeleženec
ScotApp_1748,Napaka prijave prstnih odtisov
ScotApp_718,718neuporabljenih
ScotApp_618,Odstopanje teže
ScotApp_518,Vstavite gotovino.
ScotApp_1253,PIP ZVESTOBA
ScotApp_1604,     Stanje koša avtomata za izdajo kartic je običajno (%s)
ScotApp_218,Tiskalnik skoraj prazen
ScotApp_118,Potrebna odobritev
ScotApp_552,Upravitelj in geslo se ne moreta začeti z ničlo.
ScotApp_791,Izberi vrsto plačila
ScotApp_691,691neuporabljenih
ScotApp_591,NCR SelfServ kodirnik blagajne se nalaga ...
ScotApp_391,"Izdelki, ki potrebujejo ceno"
ScotApp_918,Ni zapisa glede teže izdelka.
ScotApp_1187,NAPAKA NAPRAVE
ScotApp_991,Starost
ScotApp_891,Pametna tehtnica je naložena.
ScotApp_1474,Napaka strojne opreme. Koda napake E%d
ScotApp_1396,Izhod iz načina udeleženca
ScotApp_1252,PIP VRAČILO GOTOVINE DOLGA
ScotApp_1732,PickList podobe so naložene.
ScotApp_1461,Kovanci
ScotApp_1166,"* Odprite vrata predalnika za tiskalnik.\n* Odpahnite in potisnite tiskalnik nazaj.\n* Odprite pokrov tiskalnika in ga preverite glede kopičenj.\n* Zaprite pokrov tiskalnika in ga napolnite s papirjem .\n* Tiskalnik previdno povlecite naprej, dokler ne zaskoči v položaj."
ScotApp_1186,NEPRIČAKOVANO ZMANJŠANJE
ScotApp_1857,  Ne odlagajte na trak
ScotApp_1829,Odobri
ScotApp_1670,Napaka ločevalnika kovancev/bankovcev
ScotApp_1198,VNESENA ŠTEVILKA RAČUNA
ScotApp_1869,Roka zastira pogled.
ScotApp_1251,PIP DOLG
ScotApp_1855,Po izbiri
ScotApp_767,Raven medijev običaj
ScotApp_667,Kartica je povlečena. Skenirajte vaše izdelke in kupone.
ScotApp_567,Vnesi
ScotApp_467,467neuporabljenih
ScotApp_367,367neuporabljenih
ScotApp_267,Varnost
ScotApp_1460,Računi
ScotApp_1185,PRESEŽEN PRAG VREČKE ŠKATLE
ScotApp_1009,Način trgovine
ScotApp_867,Ne
ScotApp_1856,  Ne vstavljajte v vrečko
ScotApp_1677,"Preverite, da so vrata ločevalnika kovancev zaprta."
ScotApp_746,746neuporabljenih
ScotApp_646,Y
ScotApp_1394,Napaka digitalnega vmesnika
ScotApp_446,Začasno zaustavi transakcijo
ScotApp_346,Bankomat (vračilo gotovine)
ScotApp_246,246neuporabljenih
ScotApp_146,"Prosim, izberite vaš način plačila."
ScotApp_1501,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1609,     Koš zavrnjenih je skoraj poln
ScotApp_1194,ŠTEVILKA AVTORIZACIJE
ScotApp_946,Odobritev vrečke/škatle
ScotApp_846,"Skenirajte izdelke ali pritisnite ""Končano skeniranje""."
ScotApp_1843,Vrečka
ScotApp_1467,"Uporabite zaslon ""Status gotovine/papirja"", da spraznite gotovino."
ScotApp_725,725neuporabljenih
ScotApp_625,Vnesite odstopanje teže med <%s> in <%s>.
ScotApp_1381,Obdelovanje ...
ScotApp_425,425neuporabljenih
ScotApp_325,Vnesen datum ni veljaven
ScotApp_225,Koš zajemanja čitalca kartic je vstavljen
ScotApp_1676,Odprta vrata ločevalnika kovancev
ScotApp_925,925neuporabljenih
ScotApp_825,Daj izdelek v vrečko
ScotApp_1608,     Koš zavrnjenih je prazen
ScotApp_1842,Popolna asistenca
ScotApp_1808,Izberite izdelek na računu.
ScotApp_1466,Status ločevalnika gotovine je poln
ScotApp_1380,cena
ScotApp_1854,Po izbiri
ScotApp_1675,Napaka ločevalnika kovancev
ScotApp_1597,Kartica zvestobe
ScotApp_1350,%s\n%s %s dodan
ScotApp_738,738neuporabljenih
ScotApp_638,Informacije veljavnega odstopanja WLDB
ScotApp_538,538neuporabljenih
ScotApp_338,Vnesite prve tri črke opisa izdelka.
ScotApp_238,\nSprejemalec gotovine ni uspel sprejeti vstavljene gotovine.\n\nPreverite kaseto za bankovce.
ScotApp_138,Vzemi kartico
ScotApp_1170,"* Open printer cover and check for paper jam in the area shown. \n* Remove Paper.\n* Close printer cover and reload paper.\n* If the error remains, reboot terminal."
ScotApp_1841,Prosimo pojdite do vrste za odobritev
ScotApp_1740,Overi vrečko
ScotApp_938,938neuporabljenih
ScotApp_838,Strinjanje stranke
ScotApp_1133,Kopičenje v sprejemalcu bankovcev.
ScotApp_1387,"Pojavila se je velika napaka programske opreme.\nPonovno zaženite terminal.\n\nZa ponovni zagon terminala:\n* Obrnite Nadzorno ključavnico na 'S' -ALI- pritisnite Nadzorni gumb.\n* Izberite ""Izklopi celotni sistem"".\n* Pokličite Podporo in jih obvestite o napaki."
ScotApp_1674,"Pritisnite gumb zavračanja, da sprostite nakopičene kovance.  Če se napaka ponovno pojavi, je mogoče prisotno kopičenje kovancev. Odprite pokrov kovancev in ga zavarujte.  Odstranite nakopičene kovance.  Pritisnite gumb zavračanja, da ponastavite.  Sprostite in zaprite pokrov kovancev."
ScotApp_1650,(ddmmll)
ScotApp_690,690neuporabljenih
ScotApp_590,Tovarna naprave se končuje ...
ScotApp_490,"Skenirajte vaše izdelke ali pritisnite ""Zagon"" za začetek."
ScotApp_390,Priklicani izdelki
ScotApp_290,290neuporabljenih
ScotApp_190,Posrednika transakcije se nalaga ...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Pametna tehtnica se nalaga ...
ScotApp_1772,Kupon
ScotApp_1661,"Ni mogoče natisniti računa. Pritisnite ""Drugi računi"" za ponovni poskus."
ScotApp_1132,Napaka v komunikaciji.
ScotApp_1386,Velika napaka
ScotApp_784,Avtomat za izdajanje računa ne deluje\n* Napolnite avtomat za izdajanje bankovcev\n* Odstranite kopičenje v avtomatu za izdajanje ali\n* Prilagodite čistilni koš.
ScotApp_684,Danes
ScotApp_584,Zavrnjen EBT.
ScotApp_484,Potreben je podpis
ScotApp_384,384neuporabljenih
ScotApp_284,Skener: Izgubljeni podatki
ScotApp_1595,Priljubljeni jezik
ScotApp_1451,ID asistenta
ScotApp_984,Odvzemni trak je naložen.
ScotApp_884,Prekliči začasno zaustavitev
ScotApp_1847,"Izdelek dodan. Skenirajte naslednji izdelek ali pritisnite ""Vnesi kodo""."
ScotApp_1660,Izberi možnost tiskanja
ScotApp_1131,Ni kasete računa ali ni pravilno vstavljena.
ScotApp_1385,Izberi jezik
ScotApp_1436,"Presežen prag ""Preskoči dajanje v vrečke"""
ScotApp_1049,1049neuporabljenih
ScotApp_666,666neuporabljenih
ScotApp_1594,Pravilno izklopite in ponovno zaženite terminal.
ScotApp_466,   Skeniran je neznani izdelek
ScotApp_366,Kopičenje pri rezilu tiskalnika
ScotApp_266,Varn. zastopnik se končuje ... 
ScotApp_966,966neuporabljenih
ScotApp_1541,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1846,"Skenirajte izdelek ali pritisnite ""Vnesi kodo""."
ScotApp_1667,Kopičenje bankovcev
ScotApp_1689,Napaka ločevalnika bankovcev
ScotApp_745,745neuporabljenih
ScotApp_645,Skeniran izdelek dajte ponovno v vrečko.
ScotApp_1581,Avtomat za izdajo kovancev
ScotApp_445,Gotovinski popust
ScotApp_345,345neuporabljenih
ScotApp_245,Čitalec kartic ne deluje
ScotApp_145,145neuporabljenih
ScotApp_945,Omejitev\Vrečka/Škatla
ScotApp_713,713neuporabljenih
ScotApp_613,Položite izdelek na tehtnico vrečke.
ScotApp_513,513neuporabljenih
ScotApp_313,313neuporabljenih
ScotApp_213,213neuporabljenih
ScotApp_113,Prekliči izdelke
ScotApp_1573,"Pritisnite gumbe za polnjenje, da napolnite ali pritisnite Dvig sprejemalca in Dvig avtomata za izdajanje, da spraznite."
ScotApp_913,Neznani izdelek na varnostni tehtnici.
ScotApp_813,"Vnesite PO# / ime naloga in pritisnite ""Vnesi"""""
ScotApp_1666,Napaka ločevalnika bankovcev
ScotApp_1137,%s Kaseta računa ni nameščena.
ScotApp_1580,Avtomat za izdajo računa
ScotApp_758,758neuporabljenih
ScotApp_658,valuta je nizka
ScotApp_558,Količina izdelka z omejitvami
ScotApp_1653,Znesek presega kapaciteto. Maksimalni potreben znesek je %s. Znesek %s samodejno vnesen.
ScotApp_358,Vrni se na način asistence
ScotApp_258,Posrednik transakcije se končuje ...
ScotApp_158,"Ta izdelek zahteva odobritev trgovine. Prosim, nadaljujte."
ScotApp_1844,Iskanje
ScotApp_958,Tehtnica vrečke
ScotApp_858,Da
ScotApp_1136,Ni koša zavrnjenih računov ali ni popolnoma zaskočen.
ScotApp_1587,"Ali ste prepričani, da želite spregledati spremembe na zaslonu Upravljanja računa?"
ScotApp_1531,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1599,%s iskanje prednosti je spodletelo.
ScotApp_1652,(llmmdd)
ScotApp_1123,"* NE nadaljujte dokler niso odstranjeni vsi nakopičeni bankovci.\n* Previdno izvlecite avtomat za izdajanje bankovcev iz predalnika.\n* Odstranite nakopičene bankovce na vrhu avtomata za izdajanje bankovcev brez, da bi ovirali trakove.\n* Potisnite avtomat za izdajanje bankovcev nazaj v predalnik.\n* Zaklenite vrata, nato pritisnite ""Težava je rešena""."
ScotApp_1342,Izberi pripomoček
ScotApp_1332,Presledek
ScotApp_1586,%s    %s  %s
ScotApp_1444,Odstrani
ScotApp_1598,Prednosti so aktivirane.
ScotApp_1651,(llllmmdd)
ScotApp_1122,Račun se je mogoče nakopičil pri izhodu avtomata za izdajanje bankovcev.\n\nDelno izvlecite avtomat za izdajanje bankovcev iz predalnika.\n\nOdstranite nakopičene bankovce.\n\nPrevidno potisnite avtomat za izdajanje bankovcev nazaj v predalnik.
ScotApp_1331,Dvigalka
ScotApp_1585,Koši              Vrednost  Sprememba v vrednosti
ScotApp_1118,Težave z izdajanjem %s bankovcev.\n\n%s bankovci niso mogli biti pridobljeni iz kasete za bankovce.\n\nOdstranite %s kaseto za bankovce in preverite stanje bankovcev.
ScotApp_1884,Smart Assist alarm
ScotApp_1191,POTREBNE MERITVE
ScotApp_1121,V prikazanem območju se mogoče kopiči račun.\n\nDelno izvlecite avtomat za izdajanje bankovcev iz predalnika.\n\nOdstranite nakopičene bankovce.\n\nPrevidno potisnite avtomat za izdajanje bankovcev nazaj v predalnik.
ScotApp_503,503neuporabljenih
ScotApp_403,403neuporabljenih
ScotApp_1849,
ScotApp_1330,Izdelek ni v vrečki
ScotApp_1355,Vaše stanje
ScotApp_1584,Koši              Štetje Sprememba v štetju
ScotApp_465,%s               %s
ScotApp_365,Kopičenje v glavi tiskalnika
ScotApp_265,265neuporabljenih
ScotApp_965,965neuporabljenih
ScotApp_633,Podpis:
ScotApp_433,433neuporabljenih
ScotApp_333,Napaka zaradi kopičenja v reži čitalca kartic
ScotApp_233,"Zagotovite, da je sprejemalec bankovcev pravilno nameščen.\n\nPotegnite ročico naprej, da ga sprostite in potisnete sprejemalca naprej.\n\nPotisnite sprejemalca bankovcev nazaj notri dokler se ne zaustavi."
ScotApp_133,133neuporabljenih
ScotApp_1120,"Nakopičenje bankovcev se lahko nahaja pred %s kaseto za bankovce.\n\nOdstranite %s kaseto in poiščite kopičenje bankovcev v teh območjih.\n\nOdstranite nakopičene bankovce, če je mogoče zamenjajte kaseto za bankovce."
ScotApp_1805,Izhod iz načina samo gotovina
ScotApp_933,Nepravilno tehtanje
ScotApp_833,833neuporabljenih
ScotApp_1337,Zapusti NCR SelfServ Checkout
ScotApp_1780,ZAŽENI TRANSAKCIJO
ScotApp_712,712neuporabljenih
ScotApp_612,Dodaj težo
ScotApp_512,Vizualne overitve
ScotApp_312,koš je nakopičen
ScotApp_212,212neuporabljenih
ScotApp_112,Potrdi količino
ScotApp_1081,Pokaži\nVse vrste
ScotApp_778,778neuporabljenih
ScotApp_678,678neuporabljenih
ScotApp_578,Zaključite ponudbo kartice.  Dolg drobiža.
ScotApp_478,Oddajte kupone.
ScotApp_378,Tiskalnik računa
ScotApp_278,Varnostni dnevnik
ScotApp_1127,Ponovno poveži
ScotApp_1802,Sprejmi samo kartice
ScotApp_978,Prag = %d.
ScotApp_878,Vnesite ceno.
ScotApp_1533,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1787,"Vnesite število plastičnih vrečk, ki ste jih uporabili ali 0, če niste uporabili nobene vrečke."
ScotApp_1799,Načina samo kartice
ScotApp_1309,"* Vstavite kaseto, da zaskoči .\n* Preverite, ali se je motor sprejemalca bankovcev na kratko vklopil."
ScotApp_1323,Ostanek teže
ScotApp_1079,Dajte skenirane izdelke ponovno na trak.
ScotApp_1382,(Std)
ScotApp_1532,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1786,Šarža plastične vrečke
ScotApp_1094,Natisni podpise
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Način samo gotovina
ScotApp_1322,Napaka senzorja kupona\nNapaka komuniciranja.
ScotApp_1078,Izberite nastavitev za pričakovano težo. (Stranka naj da izdelek na trak.)
ScotApp_1334,  Izdelek ni na traku
ScotApp_1785,"Neveljavna prijava. Prosim, ponovno se prijavite z uporabo tipkovnice ali vašega prstnega odtisa."
ScotApp_1046,"Prosim, nesite vaš %s asistentu na plačilni postaji."
ScotApp_1696,Stanje popravljeno
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PinTipkovnica / Napaka EFT naprave
ScotApp_1065,1065neuporabljenih
ScotApp_1321,Končajte plačilo s kuponom.  Dolg ostanka.
ScotApp_764,764neuporabljenih
ScotApp_1530,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1784,VEČPAKETNI IZDELEK
ScotApp_1070,1070neuporabljenih
ScotApp_49,49neuporabljenih
ScotApp_1111,  %s @ %s/%s\t%s
ScotApp_753,Včeraj vsako uro
ScotApp_653,"Vnesite vrednost kupona v centih in pritisnite ""Vnesi""."
ScotApp_453,Status polnega sprejemalca kovancev
ScotApp_353,Pojdi nazaj
ScotApp_253,253neuporabljenih
ScotApp_153,153neuporabljenih
ScotApp_1320,Začnite plačilo s kuponom.
ScotApp_953,"Izklopite in ponovno zaÅ¾enite terminal:\n\n* Obrnite Nadzorno kljuÄavnico na 'S' -ALI- pritisnite Nadzorni gumb.\n* Izberite ''ZaÅ¾eni DODAJ ob naslednjem ponovnem zagonu''.  Izberite â€œDaâ€, da potrdite.\n* Izberite ''Izklopi celotni sistem''.\n* Ko zaslon utripa, izklopite terminal na UPSu ali vtiÄnici.\n* Vklopite terminal. Preverite pregledovalnik dogodkov. ÄŒe se napaka ponovno pojavi, pokliÄite servis."
ScotApp_853,Štirje izdelki
ScotApp_1845,Račun
ScotApp_1537,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_732,732neuporabljenih
ScotApp_632,632neuporabljenih
ScotApp_532,Izdelek z omejitvami
ScotApp_432,EBT
ScotApp_332,Zapuščanje načina asistence
ScotApp_232,* Odstranite sprejemalca bankovcev in kaseto.\n* Preverite kaseto glede kopičenja.\n* Odprite dostopna vrata na vrhu sprejemalca in preverite glede kopičenja bankovcev.\n* Trdno zaprite dostopna vrata.\n* Zamenjajte sprejemalca in kaseto.
ScotApp_132,132neuporabljenih
ScotApp_1110,  %s @ %s/each\t%s
ScotApp_1242,DOLG
ScotApp_1285,Priljubljeno
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832neuporabljenih
ScotApp_1327,"Pritisnite želeno poročilo, nato pritisnite ""Zaženi poročilo""."
ScotApp_711,711neuporabljenih
ScotApp_611,Izberite želeno funkcijo.
ScotApp_511,Primerjajte podpis stranke s podpisom na kartici.
ScotApp_411,Vzemi kartico zvestobe
ScotApp_311,koš je prazen
ScotApp_111,Ponastavi tehtnico
ScotApp_1789,KUPON
ScotApp_1536,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_911,Briši varnost
ScotApp_811,"Skenirajte vašo darilno kartico. Prosim, preverite vašo košarico glede dodatnih izdelkov."
ScotApp_1628,CPU napaka
ScotApp_1523,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1349,%s\n %s\n%s %s pričakovan\n%s %s opazovan
ScotApp_1892,Analiza varnosti
ScotApp_1279,ČEK
ScotApp_1535,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1057,1057neuporabljenih
ScotApp_1441,Upravljanje kovancev
ScotApp_1313,* Preverite tiskalnik glede kopičenja papirja.\n* Napolnite papir.\n* Ustrezno izklopite in ponovno zaženite terminal.
ScotApp_1681,Napaka ločevalnika bankovcev
ScotApp_1069,1069neuporabljenih
ScotApp_1325,Položite izdelek na tehtnico.
ScotApp_1278,OPREDELJENUPORABNIK20
ScotApp_1103,Prejšnji
ScotApp_1534,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1056,1056neuporabljenih
ScotApp_1312,"* Odstranite sprejemalca bankovcev in kaseto.\n* Odprite in odstranite bankovce.\n* Zaprite in ponovno vstavite v sprejemalca.\n* Preverite, ali se je motor sprejemalca bankovcev vklopil in, da je LED lučka zelena."
ScotApp_1265,OPREDELJENUPORABNIK7
ScotApp_1850,Okvarjene naprave
ScotApp_1213,NEZNANO
ScotApp_1521,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_139,Vzemi račun
ScotApp_1043,"Uporabite način asistence, da sprejmete %s od stranke."
ScotApp_1401,"Asistenca je v teku.\n\nProsim, počakajte ..."
UnknownItemMessage,Pomoč je na poti.\n\nPoložite izdelek na stran in nadaljujte.
TimeRestrictedItemMessage,Tega izdelka tokrat ne morete kupiti. \n\nPostavite izdelek na stran in nadaljujte.
ItemQuantityExceededMessage,"Presegli ste dovoljeno količino za ta izdelek.\n\nProsim, položite ga na stran in nadaljujte."
WeightMismatch,"Preverjanje teže izdelka.\n\nProsim, počakajte..."
ItemQuantityExceeded,Omejitev količine Presežena
WaitForRemoteAssistanceTitle,Oddaljeni udeleženec
ScotApp_489,"Hvala, da uporabljate NCR SelfServ Checkout."
ScotApp_273,Ne skenirajte zdaj.\nPoložite izdelek na stran.
ScotApp_431,"Neveljavna kartica zvestobe. Prosim, overite."
ScotApp_410,Asistenca je potrebna za:
ScotApp_1739,"Prosim, počakajte na udeleženca.\nSistem ni mogel overiti vaše vrečke.\nČe ste po pomoti položili kaj drugega na mesto za vrečke kot pa vrečko, prosim to odstranite."
ScotApp_73,Vrni se na Način nakupovanja
ScotApp_772,"Izvedena je bila začasna zaustavitev trenutne transakcije.\nProsim, potrdite ali prekličite to zahtevo."
ScotApp_530,Napaka pri branju kartice.\nVstavite drugo kartico.\n   -ali-\nPlačajte z gotovino.\n   -ali-\nPokličite za pomoč.
ScotApp_524,Napačna vnesena PIN številka.\nPonovno vnesite PIN številko na plačilni napravi.
ScotApp_397,"Uporabite način asistence za prodajo razveljavljenih izdelkov.\nZberite ostale izdelke, da ne bodo prodani."
ScotApp_171,"""%s""\n\nJe %d pravilno?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Transakcija je začasno zaustavljena. Vse izdelke položite na stran.
ScotApp_495,"Presegli ste dovoljeno količino za ta izdelek.\n\nProsim, položite ga na stran in nadaljujte."
ScotApp_529,"Odstranite kartico, nato ...\nVstavite drugo kartico.\n   -ali-\nPlačajte z gotovino.\n   -ali-\nPokličite za pomoč."
ScotApp_275,Ne vstavljajte plačilnih kartic zdaj.\nVzemite vašo kartico.
ScotApp_1891,"Verifikacija v sistemu poteka. \nProsim, počakajte ..."
ScotApp_1750,"Prosim, počakajte medtem ko obdelujemo vaš prstni odtis."
ScotApp_169,Želite nadaljevati z vašim nakupom?
ScotApp_415,Vzemite vašo kartico zvestobe.\nKartica je bila prej vstavljena.
ScotApp_1793,Ta naprava bo tokrat sprejela le kreditno in plačilno kartico.\nŽelite nadaljevati?
ScotApp_477,Oddajte kupone.\nKo se vaš račun natisne:\n-- Zberite vaše izdelke.\n-- Nesite račun in kupone do plačilne postaje.
ScotApp_177,Celotni nakup preklican. Položite vse izdelke na stran.
ScotApp_656,"Prosim, položite <%s> na stran.\nZaposleni v trgovini vam bo asistiral."
ScotApp_1709,"Zdaj ne vstavljajte bankovcev ali kovancev.\nProsim, vzemite vrnjen denar.\nRačuni so izdani pod skenerjem."
ScotApp_435,"Izberite vrsto ugodnosti.\nČe želite uporabiti kupone za živila, morajo biti uporabljeni pred drugimi ugodnostmi."
ScotApp_808,"Izdelke z varovalnimi oznakami nesite do spremljajoče postaje, da je odstranjena."
ScotApp_294,"Za asistenco pritisnite gumb ""Pokliči za asistenta""."
ScotApp_1287,"Prosim, počakajte ...\nPreverjanje teže izdelka."
ScotApp_525,"Napačna vnesena PIN številka.\nOdstranite kartico, nato ...\nVstavite drugo kartico\n   -ali-\nPlačajte z gotovino"
ScotApp_480,"Prosim, pritisnite ""OK"" ter odnesite listek s transakcijo in izdelke do asistenta."
ScotApp_1751,* PreseÅ¾ena maksimalna dovoljena teÅ¾a.\n* Odstranite izdelke s tehtnice vrecke.
ScotApp_175,"Ali želite odstraniti\n""%s""\nz računa?"
ScotApp_1746,"Strežnik prstnih odtisov ni na voljo.\nProsim, poskusite znova."
ScotApp_1839,"Prosim, počakajte na asistenta.\nNe skenirajte zdaj. Položite izdelek na stran."
ScotApp_501,"Prosim, podpišite račun in počakajte na odobritev trgovine."
ScotApp_414,Vzemite vašo kartico zvestobe.\nZa vaš trenutni nakup ne morejo biti uporabljeni popusti. Posredovani vam bodo po elektronski pošti.
ScotApp_563,Med inicializacijo končnih vsot se je pojavila napaka.\nAplikacija se bo zaprla.
ScotApp_263,"Ni mogoče razveljaviti izdelka, dokler je razveljavljen njegov kupon.\nNajprej razveljavite kupon izdelka."
ScotApp_800,"Prosim, preverite košarico.\n\nSkenirajte dodatne izdelke zdaj ali\nPritisnite ""OK"" za plačilo."
ScotApp_134,"Avtorizacija je v teku. \nProsim, počakajte."
ScotApp_620,Vnesi odstopanje
ScotApp_161,"%s\nS pomočjo tipkovnice vnesite količino in pritisnite ""OK""."
ScotApp_440,Vaše stanje gotovinskega popusta je manjše od potrebnega.\nŽelite za ta nakup uporabiti vašo preostalo ugodnost %s gotovinskega popusta.
ScotApp_184,%s bo pisano v breme vašega računa.
ScotApp_274,Ne vstavite denarja zdaj.\nVzemite vaš denar.
ScotApp_1744,"Naprava ni prepoznala vašega prstnega odtisa.\nProsim, poskusite znova."
ScotApp_160,Cena izdelka je bila priklicana.\nAsistenca prihaja.\nPoložite izdelek na stran in nadaljujte z nakupom.
ScotApp_1795,"Ali omejiti na ""Samo kartice."""
ScotApp_159,Cena izdelka je neznana.\nAsistenca prihaja.\nPoložite izdelek na stran in nadaljujte z nakupom.
ScotApp_458,Izberite vrsto ugodnosti.\nZa ta nakup ne morejo biti uporabljeni kuponi za živila.
ScotApp_1329,"Prosim, počakajte ...\nPreverjanje teže izdelka.\nDvojna teža v vrečki."
ScotApp_407,Napaka pri branju kartice.\n*  Poskusite z drugo kartico\n   -ali-\n*  Pokličite za pomoč
ScotApp_706,"Vaše stanje kuponov za živila je manjše od zneska tega nakupa.\nPritisnite ""OK"", da uporabite drug način plačila."
ScotApp_606,Briši Vnos teže
ScotApp_906,"Prosim, vzemite vaše izdelke."
ScotApp_705,"Vaše stanje gotovinskega popusta je manjše od zneska tega nakupa.\nPritisnite ""OK"", da uporabite drug način plačila."
