AmountSaved,Economie
ScotApp_1436,"Limite ""Passer emballage"" dépassée"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Arrêtez correctement la machine et redémarrez le terminal.
ScotApp_466,   Article inconnu scanné
ScotApp_366,Imprimante: blocage du couteau
ScotApp_266,"Fin de l'agent de sécurité..."
ScotApp_966,966unused
ScotApp_1541,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1846,"Scannez l'article ou appuyez sur ""Tapez le code""."
ScotApp_1667,Blocage de billets
ScotApp_1689,Erreur du recycleur de billets
ScotApp_745,745unused
ScotApp_645,"Remettez l'article scanné dans la zone de mise en sac."
ScotApp_1581,Distributeur de monnaie
ScotApp_445,Prestation en espèces
ScotApp_345,345unused
ScotApp_245,Lecteur de carte: inutilisable
ScotApp_145,145unused
ScotApp_945,Limite\Sac/Carton
ScotApp_713,713unused
ScotApp_613,"Placez l'article sur la balance pour sac."
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Annuler des articles
ScotApp_1573,"Touchez le bouton ""Charger"" pour remplir. Pour libérer, touchez les boutons ""Décharger Accepteur"" et ""Décharger Distributeur""."
ScotApp_913,Article imprévu sur la balance de sécurité.
ScotApp_813,Saisir N° BC / Nom du job et appuyer sur OK
ScotApp_1666,Erreur du recycleur de billets
ScotApp_1137,Cassette de billets de %s non installée.
ScotApp_1580,Distributeur de billets
ScotApp_758,758unused
ScotApp_658,Devise en baisse
ScotApp_558,Articles à quantité restreinte
ScotApp_1653,Le montant excède la capacité. Le montant maximum nécessaire est %s. Montant %s renseigné automatiquement.
ScotApp_358,Revenez au mode Aide
ScotApp_258,Fin du Transaction Broker...
ScotApp_158,"Cet article nécessite l'autorisation du magasin. Veuillez continuer."
ScotApp_1844,Recherche
ScotApp_958,Balance de mise en sac
ScotApp_858,Oui
ScotApp_1136,Le récupérateur de billets rejetés est sorti ou mal verrouillé.
ScotApp_1587,Souhaitez-vous vraiment ignorer les changements dans l’écran Gestion des billets ?
ScotApp_1531,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1599,Échec de la recherche de préférence de %s.
ScotApp_1652,(aammjj)
ScotApp_1123,"* NE continuez PAS avant d'avoir enlevé tous les billets coincés.\n* Extrayez délicatement le distributeur de billets du casier.\n* Retirez les billets coincés en haut du distributeur de billets sans toucher aux courroies.\n* Repoussez le distributeur de billets dans le casier.\n*  Fermez la porte et appuyez sur ""J'ai corrigé le problème""."
ScotApp_1342,Sélectionner Utilitaire
ScotApp_1332,"Barre d'espace"
ScotApp_1586,%s    %s  %s
ScotApp_1444,Retirer
ScotApp_1598,Préférences activées.
ScotApp_1651,(aaaammjj)
ScotApp_1122,"Un billet peut être froissé à la sortie du distributeur de billets.\n\nRetirer partiellement le distributeur hors de l'armoire.\n\nRetirer tout billet froissé dans la zone indiquée.\nReplacer délicatement le distributeur de billets dans l'armoire."
ScotApp_1331,Maj
ScotApp_1585,Bacs             Valeur    Différence en\n                                  valeur
ScotApp_1118,"Problème de distribution de billets de %s.\n\nbillets de %s n'ont pas pu être retirés de la cassette.\n\nRetirer la cassette de billets de %s et vérifier l'état des billets."
ScotApp_1884,Alerte Smart Assist
ScotApp_1191,MESURE REQUISE
ScotApp_1121,"Un billet peut être froissé dans la zone indiquée.\n\nRetirer partiellement le distributeur hors de l'armoire.\n\nRetirer les billets froissés.\n\nRepousser délicatement le distributeur de billets dans l'armoire."
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Article non mis en sac
ScotApp_1355,Votre solde
ScotApp_1584,Bacs             Nombre    Différence en\n                                  nombre
ScotApp_465,%s               %s
ScotApp_365,Imprimante: blocage de la tête
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Signature:
ScotApp_433,433unused
ScotApp_333,Erreur sur lecteur de carte: blocage de volet
ScotApp_233,"Vérifier la bonne installation de l'accepteur de billets.\n\nTirer la poignée pour libérer l'accepteur de billets et le faire glisser vers l'avant.\n\nRepousser à fond l'accepteur de billets."
ScotApp_133,133unused
ScotApp_1120,Il peut y avoir un bourrage de billets devant la cassette de billets de %s.\n\nRetirer la cassette de %s et chercher un bourrage à cet endroit.\n\nRetirer billets froissés si possible et replacer la cassette de billets.
ScotApp_1805,"Quitter le mode ""Monnaie uniquement"""
ScotApp_933,Non correspondance du poids
ScotApp_833,833unused
ScotApp_1337,Quitter SelfServ Checkout
ScotApp_1780,DÉMARRER LA TRANSACTION
ScotApp_712,712unused
ScotApp_612,Ajoutez du poids
ScotApp_512,Validations visuelles
ScotApp_312,le compartiment est bloqué
ScotApp_212,212unused
ScotApp_112,Confirmez la quantité
ScotApp_1081,Afficher\ntoutes les caisses
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Fin de paiement avec carte. Montant à rendre.
ScotApp_478,Déposez les Coupons.
ScotApp_378,Imprimante de reçu
ScotApp_278,Journal de sécurité
ScotApp_1127,Reconnexion
ScotApp_1802,"N'accepter que les cartes"
ScotApp_978,Seuil = %d
ScotApp_878,Saisir prix.
ScotApp_1533,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1787,"Saisissez le nombre de sacs en plastique utilisés ou 0 si vous n'avez pas utilisé de sac."
ScotApp_1799,"Mode ""Cartes uniquement"""
ScotApp_1309,"* Insérez une cassette jusqu'à l'enclenchement.\n* Vérifiez que le moteur de l'accepteur de billets s'allume."
ScotApp_1323,Poids restant sur la
ScotApp_1079,"Reposez l'article scanné sur le tapis roulant."
ScotApp_1382,(DS)
ScotApp_1532,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1786,Supplément pour sac en plastique
ScotApp_1094,Imprimer signatures
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,"Mode ""Monnaie uniquement"""
ScotApp_1322,Erreur du démagnétiseur de coupon.\nEchec de la communication.
ScotApp_1078,Sélect. param. probabilité de poids. (client doit mettre article sur tapis.)
ScotApp_1334,  Article absent
ScotApp_1785,Informations de connexion non valides. Veuillez vous reconnecter via le pavé numérique ou votre empreinte digitale.
ScotApp_1046,Veuillez donner votre %s\nà la caissière au point de paiement.
ScotApp_1696,Condition corrigée
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,Erreur périphérique PinPad \ EFT
ScotApp_1065,1065unused
ScotApp_1321,Fin du paiement par bons. Solde dû.
ScotApp_764,764unused
ScotApp_1530,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1784,ARTICLE EN EMBALLAGE MULTIPLE
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Qté %s @ %s/%s\t%s
ScotApp_753,Hier Horaire
ScotApp_653,"Saisissez la valeur du coupon en\ncents et appuyez sur ""Entrée""."
ScotApp_453,Monnayeur: plein
ScotApp_353,Retour
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Début du paiement par bons.
ScotApp_953,"Arrêtez et redémarrez le terminal:\n* Tournez le commutateur du Superviseur en position ""S"" OU appuyez sur le bouton du Superviseur.\n* Sélectionnez ""Lancez DAA Lors Du Prochain Redémarrage"". Sélectionnez ""Oui"" pour confirmer.\n* Sélectionnez ""Arrêter le système complet"".\n* Lorsque l'écran devient blanc, débranchez le terminal au niveau de l'onduleur ou du bloc multiprises.\n* Allumez le terminal. Vérifiez l'afficheur d'événements. Si l'erreur réapparaît, appelez la maintenance."
ScotApp_853,Quatre articles
ScotApp_1845,Reçu
ScotApp_1537,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Article à vente restreinte
ScotApp_432,EBT
ScotApp_332,Quittez le mode Aide.
ScotApp_232,"Retirer cassette et accepteur de billets.\n\nVérifier bourrage dans cassette.\n\nOuvrir portes d'accès en haut de l'accepteur et vérifier bourrage de billets.\n\nFermer correctement les portes d'accès et remettre accepteur et cassette."
ScotApp_132,132unused
ScotApp_1110,  Qté %s @ %s/chacun\t%s
ScotApp_1242,CARTE DE DEBIT
ScotApp_1285,Courants
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Touchez le rapport voulu, puis touchez ""Exécuter le rapport""."
ScotApp_711,711unused
ScotApp_611,Sélectionnez la fonction voulue.
ScotApp_511,Comparez la signature du client à celle se trouvant sur la carte.
ScotApp_411,Prenez la carte de fidélité
ScotApp_311,le compartiment est vide
ScotApp_111,Remettez la balance à zéro
ScotApp_1789,COUPON
ScotApp_1536,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_911,Effacer sécurité
ScotApp_811,"Scannez votre carte cadeau. Veuillez vérifier qu'il ne reste pas d'articles dans votre panier."
ScotApp_1628,Erreur de la CPU
ScotApp_1523,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1349,%s\n %s\n%s %s attendu\n%s %s observé
ScotApp_1892,Analyse de la sécurité
ScotApp_1279,CHEQUE
ScotApp_1535,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1057,1057unused
ScotApp_1441,Gestion de la monnaie
ScotApp_1313,* Vérifiez qu’il n’y ait pas un bourrage papier dans l’imprimante.\n* Remettez du papier.\n* Arrêtez correctement la machine et redémarrez le terminal.
ScotApp_1681,Erreur du recycleur de billets
ScotApp_1069,1069unused
ScotApp_1325,"Placez l'article sur la balance."
ScotApp_1278,USERDEFINED20
ScotApp_1103,Précédent
ScotApp_1534,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1056,1056unused
ScotApp_1312,* Retirez le bac de billets.\n* Ouvrez-le et retirez les billets.\n* Fermez et remettez le récepteur en place.\n* Vérifiez que le moteur du récepteur de billet est allumé et que le voyant lumineux est vert.
ScotApp_1265,USERDEFINED7
ScotApp_1850,Erreur sur périphériques
ScotApp_1213,INCONNU
ScotApp_1521,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_139,Prenez votre reçu
ScotApp_1043,Utilisez le mode Aide pour accepter %s du client.
ScotApp_1401,Assistance en cours.\n\nVeuillez patienter...
UnknownItemMessage,"De l'aide arrive.\n\nMettez l'article de côté et continuez."
TimeRestrictedItemMessage,"Vous ne savez pas acheter cet article actuellement. \n\nMettez l'article de côté et continuez."
ItemQuantityExceededMessage,Vous avez dépassé la quantité autorisée pour cet article.\n\nVeuillez le mettre de côté et continuer.
WeightMismatch,"Contrôle du poids de l'article.\n\nVeuillez attendre..."
ItemQuantityExceeded,Quantité limite Dépassé
WaitForRemoteAssistanceTitle,Préposé à distance
ScotApp_489,"Merci d'avoir utilisé NCR SelfServ Checkout."
ScotApp_273,"Ne scannez pas pour l'instant.\nMettez l'article de côté."
ScotApp_431,Carte de fidélité invalide. Veuillez vérifier.
ScotApp_410,Aide requise pour:
ScotApp_1739,"Veuillez attendre le préposé.\nLe système n'a pas pu vérifier vos sacs.\nSi vous avez placé par erreur autre chose qu'un sac dans la zone d'ensachage, veuillez retirer cet objet."
ScotApp_73,Revenir en mode achat
ScotApp_772,Mise en attente demandée de la transaction en cours.\nVeuillez confirmer ou annuler cette demande.
ScotApp_530,Erreur lecture carte.\nUtilisez autre carte.\n   -ou-\nPayez en espèces.\n   -ou-\nDemandez aide.
ScotApp_524,Code secret incorrect.\nSaisissez à nouveau le code secret sur le terminal de paiement.
ScotApp_397,Utilisez le mode Aide pour vendre les articles valides.\nRecueillez les autres articles ne devant pas être vendus.
ScotApp_171,"""%s""\n\nEst-ce que %d est correct ?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Transaction en suspens. Placer tous les articles de côté.
ScotApp_495,Vous avez dépassé la quantité autorisée pour cet article.\n\nVeuillez le mettre de côté et continuer.
ScotApp_529,"Retirez la carte, puis....\nInsérez une autre carte.\n   -ou-\nPayez en espèces.\n   -ou-\nDemandez de l'aide."
ScotApp_275,"N'insérez pas de carte de paiement pour l'instant.\nPrenez votre carte."
ScotApp_1891,Vérification par le système en cours. \nVeuillez patienter...
ScotApp_1750,Veuillez patienter pendant le traitement de votre empreinte digitale.
ScotApp_169,Voulez-vous poursuivre vos achats ?
ScotApp_415,Prenez votre carte de fidélité.\nLa carte a été insérée auparavant.
ScotApp_1793,"Cette machine n'accepte que des cartes de crédit/débit actuellement.\nVoulez-vous continuer?"
ScotApp_477,"Déposez vos coupons.\nAprès l'impression de votre reçu:\n-- Recueillez vos articles.\n-- Présentez le reçu et les coupons au point de paiement."
ScotApp_177,Tous les achats sont annulés. Mettez tous les articles de côté.
ScotApp_656,Veuillez placer <%s> de côté.\nUn employé va vous aider.
ScotApp_1709,"N'insérez ni billet ni pièce pour le moment.\nVeuillez récupérer votre monnaie.\nLes billets sont sous le scanner."
ScotApp_435,"Sélectionnez le type de prestation.\nSi vous voulez utiliser des coupons alimentaires, vous devez le faire avant d'utiliser d'autres prestations."
ScotApp_808,Apportez les articles ayant un dispositif de sécurité au préposé afin de les désactiver.
ScotApp_294,"Pour obtenir l'aide du magasin, appuyez sur le bouton ""Demander de l'aide""."
ScotApp_1287,"Veuillez patienter ...\nVérification de poids de l'article."
ScotApp_525,"Mauvais code secret.\nRetirez la carte, puis....\nInsérez une autre carte\n   -ou-\nPayez en espèces"
ScotApp_480,Touchez OK et apportez le reçu de la transaction et vos articles à la caissière.
ScotApp_1751,Poids maximal autorisé dépassé.\nRetirez les articles de la balance.
ScotApp_175,"Voulez-vous retirer\n""%s""\ndu reçu ?"
ScotApp_1746,Le serveur d’empreintes digitales n’est pas disponible.\nVeuillez réessayer.
ScotApp_1839,"Veuillez attendre la caissière.\nNe scannez pas pour l'instant. Mettez l'article de côté."
ScotApp_501,"Veuillez signer le reçu et attendre l'autorisation du magasin."
ScotApp_414,Prenez votre carte de fidélité.\nLes remises ne peuvent être appliquées à votre achat actuel. Elles vous seront envoyées.
ScotApp_563,"Une erreur s'est produite lors de l'initialisation des totaux permanents.\nL'application va maintenant se fermer."
ScotApp_263,"Impossible d'annuler l'article avant d'annuler son coupon.\nAnnulez d'abord le coupon de l'article."
ScotApp_800,"Veuillez vérifier votre panier.\n\nScannez d'autres articles maintenant ou \nappuyez sur ""OK"" pour payer."
ScotApp_134,Autorisation en cours.\nVeuillez patienter.
ScotApp_620,Saisir la tolérance
ScotApp_161,"%s\nUtilisez le clavier pour saisir la quantité, puis appuyez sur ""OK""."
ScotApp_440,Votre solde de prestations en espèces est inférieur à ce qui est requis.\nVoulez-vous allouer le reste de vos prestations en espèces de %s à cet achat ?
ScotApp_184,%s sera débité sur votre compte.
ScotApp_274,"N'insérez pas d'espèces pour l'instant.\nPrenez votre argent."
ScotApp_1744,"L'appareil n'a pas été capable de reconnaître votre empreinte digitale.\nVeuillez réessayer."
ScotApp_160,"L'article a été rappelé.\nVous allez recevoir de l'aide.\nMettez l'article de côté et continuez vos achats."
ScotApp_1795,"Ou restreindre à ""Cartes uniquement""."
ScotApp_159,"Le prix de l'article est inconnu.\nVous allez recevoir de l'aide.\nMettez l'article de côté et continuez vos achats."
ScotApp_458,Sélectionnez le type de prestation.\nVous ne pouvez pas utiliser de coupons alimentaires pour cet achat.
ScotApp_1329,"Veuillez patienter...\nVérification de poids de l'article.\nDouble du poids dans le sac."
ScotApp_407,"Erreur en lecture de carte.\n*  Essayez une autre carte\n   -ou-\n*  Demandez de l'aide"
ScotApp_706,"Votre solde de coupons alimentaires est inférieur au total de cet achat.\nAppuyez sur ""OK"" pour utiliser un autre mode de paiement."
ScotApp_606,Supprimez les saisies de poids
ScotApp_906,Veuillez prendre vos articles.
ScotApp_705,"Votre solde de prestations en espèces est inférieur au total de cet achat.\nAppuyez sur ""OK"" pour utiliser un autre mode de paiement."
ScotApp_605,Ajouter poids
ScotApp_405,Erreur lecture de carte.\n*  Essayez autre carte\n   -ou-\n* Payez en espèces \n   -ou-\n*  Demandez aide
ScotApp_491,Veuillez prendre votre carte.
ScotApp_818,Veuillez attendre la caissière.\nAide demandée pour:
ScotApp_1796,"Ou restreindre à ""Monnaie uniquement""."
ScotApp_438,Votre solde de coupons alimentaires est inférieur à ce qui est requis.\nVoulez-vous allouer le reste de vos coupons alimentaires de %s à cet achat ?
ScotApp_1596,"Voulez-vous enregistrer %s comme langue par défaut sur votre %s ?\n Sélectionnez ""Oui"" ou ""Non""."
ScotApp_766,%s sera débité sur votre compte
ScotApp_166,"Vous allez recevoir de l'aide.\nVeuillez poursuivre vos achats."
ScotApp_413,Prenez votre carte de fidélité.\nVous bénéficierez de remises.
ScotApp_1797,"L'action corrective n'a pas résolu l'erreur.\nVeuillez réessayer ou restreindre à ""Monnaie uniquement""."
ScotApp_178,"Attendez l'autorisation du magasin.\nAutorisation requise pour:"
ScotApp_790,Votre carte a été refusée.\nVeuillez choisir un autre mode de paiement.
ScotApp_1794,"Cette machine n'accepte que de la monnaie actuellement.\nAucune carte de débit/crédit ne peut être traitée.\nVoulez-vous continuer?"
ScotApp_412,"Avec l'ajout de cet article, vos achats dépasseront %s.\n Veuillez payer maintenant et acheter d'autres articles séparément."
ScotApp_546,Vous êtes trop jeune pour acheter cet article.\nVeuillez le mettre de côté et poursuivre vos achats.
ScotApp_553,Les coupons sont acceptés à la fin de vos achats.\nVeuillez les mettre de côté et poursuivre.
ScotApp_211,Traitement en cours...\nVeuillez patienter.
ScotApp_1400,Préposé à distance
ScotApp_1754,Les lettres ne correspondent pas à un article.
ScotApp_1859,"Achat d'un panier complet de %s? Sélectionnez ""Oui"" ou ""Non""."
ScotApp_533,"Vous ne pouvez pas acheter cet article pour l'instant.\nVeuillez le mettre de côté et poursuivre vos achats."
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Sélectionnez un emballage pour: %s
ScotApp_703,"Tapez votre code PIN ou appuyez sur ""Annuler""."
ScotApp_125,"Saisissez la date de naissance du client %s et appuyez sur ""Approuver"""
ScotApp_1853,"Saisissez la date de naissance %s du client et appuyez sur ""Entrée"". "
ScotApp_654,Le format de date doit être %s.Valeur saisie: %s
ScotApp_560,"Ce système n'acceptepas les coupons."
ScotApp_1788,%d est-il correct?\n\nUn supplément pour sacs de %s sera ajouté à votre total.
ScotApp_1358,Le montant de la carte Cadeau de %s a été appliqué à votre achat.\n\nVotre solde sur la carte Cadeau est de %s.
ScotApp_167,Le coupon ne correspond à aucun des articles achetés.\n\nCe coupon ne peut pas être accepté.
ScotApp_164,"Le système ne reconnaît pas ce code d'article.\n\nAssurez-vous d'avoir saisi le bon numéro."
ScotApp_547,"Numéro d'opérateur et mot de passe incorrects. \n\nVeuillez essayer à nouveau."
ScotApp_442,"%s de vos achats peuvent être réglés à l'aide de coupons alimentaires.\n\n%s"
ScotApp_443,%s sera débité sur votre compte. \n\nOK ?
ScotApp_700,"L'article ne peut pas être vendu à cette caisse.\nUn employé va vous aider.\n\nMettez l’article de côté et continuez vos achats."
ScotApp_165,"Le système ne reconnaît pas cet article.\nVous allez recevoir de l'aide.\n\nMettez l'article de côté et continuez vos achats."
ScotApp_182,Le montant saisi pour ce coupon est trop élevé.\n\nCe système ne peut pas accepter ce coupon.
ScotApp_733,Carte refusée. Utilisez une autre carte ou payez en espèces.
ScotApp_812,"Merci d'utiliser NCR SelfServ Checkout.\nVeuillez donner votre carte cadeau à la caissière."
ScotApp_1826,Voulez-vous sauvegarder vos préférences sur votre carte de fidélité?
ScotApp_1852,"Veuillez retirer l'article annulé de la zone d'ensachage."
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Veuillez patienter…
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Configuration du chargeur
XM_SetupLoaderNotEmptyV6HW,"\nWhen swapping loaders, because the current loader\ncount is greater than zero, manually remove the notes from the current loader and add the notes to the new loader."
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
