AmountSaved,Epargné
ScotApp_111,Remettez la balance à zéro
ScotApp_1789,COUPON
ScotApp_1536,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_911,Effacer sécurité
ScotApp_811,Scannez votre certificat cadeau. Veuillez vérifier votre panier pour des articles additionels.
ScotApp_1628,Erreur d’UC
ScotApp_1523,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1349,%s\n %s\n%s %s attendu\n%s %s observé
ScotApp_1892,Analyse de la sécurité
ScotApp_1279,CHEQUE
ScotApp_1535,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1057,1057unused
ScotApp_1441,Gestion de la monnaie
ScotApp_1313,* Vérifier qu’il n’y a pas de papier de coincé dans l’imprimante.\n* Rechargez le papier.\n* Fermez le poste correctement et redémarrez le poste.
ScotApp_1681,Erreur du recycleur de billet
ScotApp_1069,1069unused
ScotApp_1325,"Placez l'article sur la balance."
ScotApp_1278,USERDEFINED20
ScotApp_1103,Précédent
ScotApp_1534,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1056,1056unused
ScotApp_1312,* Enlevez la cassette d’argent.\n* Ouvrez et enlevez les billets.\n* Fermez et réinsérez la cassette dans l’accepteur d’argent.\n* Vérifiez que le moteur de l’accepteur d’argent fonctionne et que le voyant lumineux est au vert.
ScotApp_1265,USERDEFINED7
ScotApp_1850,Périphériques en erreur
ScotApp_1213,INCONNU
ScotApp_1521,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_139,Prenez le reçu
ScotApp_1043,"Utilisez le mode d'assistance pour accepter %s du client."
ScotApp_1401,Assistance en cours.\n\nVeuillez patienter...
UnknownItemMessage,"De l'aide arrive.\n\nMettez l’article de côté et continuez."
TimeRestrictedItemMessage,"Vous n'êtes pas capable d'acheter cet article maintenant. \n\nMettez l'article de côté et continuez."
ItemQuantityExceededMessage,Vous avez dépassé la quantité permise pour cet article. \n\nVeuillez le mettre de côté et poursuivre.
WeightMismatch,"Vérification du poids de l'article.\n\nVeuillez attendre..."
ItemQuantityExceeded,Limite de quantité Dépassée
WaitForRemoteAssistanceTitle,Préposé à distance
ScotApp_489,"Merci d'utiliser NCR SelfServ Checkout."
ScotApp_273,"Ne procédez pas au scan pour l'instant.\nMettez l'article de côté."
ScotApp_431,Carte de fidélisation non valide. Veuillez vérifier.
ScotApp_410,Aide requise pour :
ScotApp_1739,"Veuillez attendre le commis.\nLe système n'a pu vérifier le contenu de vos sacs.\nSi, par erreur, vous avez déposé autre chose qu'un sac dans la zone d'emballage, veuillez l'enlever maintenant."
ScotApp_73,Retournez à Magasinage
ScotApp_772,Une demande a été faite pour mettre en attente la transaction courante.\nVeuillez confirmer ou annuler cette demande.
ScotApp_530, Carte lus incorrectement\nUtilisez une carte différente.\n -ou- \nPayez comptant.\n -ou-\nDemandez de l’aide.
ScotApp_524,Mauvais NIP entré.\nEntrez à nouveau le NIP sur l’appareil de paiement.
ScotApp_397,Utilisez le mode Aide pour vendre les articles valides.\nRecueillez les autres articles ne devant pas être vendus.
ScotApp_171,"""%s""\n\nEst-ce que %d est correct ?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Transaction suspendue. Mettez tous les articles de côté.
ScotApp_495,Vous avez dépassé la quantité permise pour cet article.\n  \nVeuillez le mettre de côté et poursuivre.
ScotApp_529,"Retirez la carte, ensuite....\nInsérez une autre carte.\n   -ou-\nPayez en argent comptant.\n   -ou-\nDemandez de l'aide."
ScotApp_275,"N'insérez pas de cartes de paiement pour l'instant.\nPrenez votre carte."
ScotApp_1891,Système Vérification en cours. \nVeuillez patienter...
ScotApp_1750,Veuillez patienter pendant le traitement de l’empreinte.
ScotApp_169,Voulez-vous poursuivre vos achats ?
ScotApp_415,Prenez votre carte de fidélisation.\nLa carte a été insérée auparavant.
ScotApp_1793,Cette machine n’accepte pour le moment que les cartes de débit et de crédit.\nVoulez-vous continuer?
ScotApp_477,"Remettez vos coupons.\nÀ la suite de l'impression de votre reçu :\n-- Recueillez vos articles.\n-- Présentez le reçu et les coupons au poste de péage."
ScotApp_177,Achat annulé. Remettez vos articles annulés à la caissière.
ScotApp_656,"Veuillez mettre l'article <%s> de côté.\nUne caissière vous aidera."
ScotApp_1709,Ne pas insérer de billets ou de monnaie à ce moment.\nVeuillez prendre la monnaie remise.\nLes billets sont remis sous le scanner.
ScotApp_435,"Sélectionnez le type d'indemnité.\nSi vous voulez utiliser des coupons alimentaires, vous devez le faire avant d'utiliser d'autres indemnités."
ScotApp_808,Apportez les articles ayant un dispositif de sécurité au préposé afin de les désactiver.
ScotApp_294,"Pour obtenir l’aide du magasin, appuyez sur le bouton ""Demander de l’aide""."
ScotApp_1287,"Veuillez attendre ...\nVérification de poids de l'article."
ScotApp_525,"Mauvais NIP saisi.\nRetirez la carte, ensuite....\nInsérez une autre carte\n   -ou-\npayez en argent comptant."
ScotApp_480,Appuyer sur OK puis prendre le reçu. Présenter les articles et le reçu au caissier. 
ScotApp_1751,* Poids maximum permis dépassé.\n* Retirez les articles de la balance.
ScotApp_175,"Voulez-vous retirer\n""%s""\ndu reçu ?"
ScotApp_1746,Le serveur n’est pas disponible.\nVeuillez essayer de nouveau.
ScotApp_1839,"Veuillez attendre une caissière.\nNe procédez pas au scan pour l'instant. Mettez l'article de côté."
ScotApp_501,"Veuillez signer le reçu et attendre l'approbation du magasin."
ScotApp_414,Prenez votre carte de fidélisation.\nLes rabais ne peuvent être appliqués à votre achat actuel. Ils vous seront postés.
ScotApp_563,"Une erreur s'est produite au moment d'initialiser les totaux permanents.\nL'application se fermera à l'instant."
ScotApp_263,"Impossible d'annuler l'article jusqu'à ce que son coupon soit annulé.\nAnnulez d'abord le coupon de l'article."
ScotApp_800,"Vérifiez votre panier.\n\nScannez d'autres articles maintenant ou \nappuyez ""OK"" pour paiement."
ScotApp_134,Autorisation en cours.\nVeuillez attendre.
ScotApp_620,Introduisez par clavier la tolérance
ScotApp_161,"%s\nUtilisez le clavier pour entrer la quantité et appuyez sur ""OK""."
ScotApp_440,"Votre solde d'indemnités en espèces est inférieur à ce qui est requis.\nVoulez-vous allouer le reste de vos indemnités en espèces de %s à cet achat ?"
ScotApp_184,%s sera débité de votre compte.
ScotApp_274,"N'insérez pas d'argent comptant pour l'instant.\nPrenez votre argent."
ScotApp_1744,Empreinte non reconnue.\nVeuillez essayer de nouveau.
ScotApp_160,"L'article a été rappelé.\nVous recevrez bientôt de l'aide.\nMettez l'article de côté et continuez vos achats."
ScotApp_1795,"Ou limitez-vous à ""Cartes seulement""."
ScotApp_159,"Le prix de l'article est inconnu.\nVous recevrez bientôt de l'aide.\nMettez l'article de côté et continuez vos achats."
ScotApp_458,"Sélectionnez le type d'indemnité.\nVous ne pouvez utiliser de coupons alimentaires pour cet achat."
ScotApp_1329,"Veuillez attendre ...\nVérification de poids de l'article.\nPoids en double mis en sac."
ScotApp_407," Une erreur s'est produite au cours de la lecture de la carte.\n*  Essayez une autre carte\n   -ou-\n*  demandez de l'aide"
ScotApp_706,"La solde de votre coupon alimentaire est inférieure au total de l’achat.\nAppuyez ""OK"" pour utiliser une méthode de paiement différente."
ScotApp_606,Supprimez les entrées de poids
ScotApp_906,Veuillez prendre vos articles.
ScotApp_705,"La solde de votre allocation d’argent est inférieure au total de l’achat.\nAppuyez ""OK"" pour utiliser une méthode de paiement différente."
ScotApp_605,Ajouter entrée poids
ScotApp_405,Erreur de lecture de la carte \n* Essayez une carte différente\n -ou-\n* Payez comptant\n -ou-\n* demandez de l’aide.
ScotApp_491,Prenez votre carte.
ScotApp_818,Veuillez attendre une caissière.\nAssistance requise pour:
ScotApp_1796,"Ou limitez-vous à ""Argent comptant seulement""."
ScotApp_438,Votre solde de coupons alimentaires est inférieur à ce qui est requis.\nVoulez-vous allouer le reste de vos coupons alimentaires de %s à cet achat ?
ScotApp_1596,"Voulez-vous enregistrer %s comme langue préférée pour %s?\nSélectionnez ""Oui"" ou ""Non""."
ScotApp_766,%s sera chargé à votre compte
ScotApp_166,"Vous recevrez bientôt de l'aide.\nVeuillez poursuivre vos achats."
ScotApp_413,Prenez votre carte de fidélisation.\nDes prix réduits seront appliqués.
ScotApp_1797,"Les mesures correctives n’ont pas réglé l’erreur.\nRéessayez ou limitez-vous à ""Argent comptant seulement""."
ScotApp_178,"Attendre l'approbation du magasin.\nApprobation requise pour:"
ScotApp_790,Votre carte a été refusée.\nVeuillez insérer un autre type de paiement.
ScotApp_1794,Cette machine n’accepte pour le moment que de l’argent comptant.\nAucun crédit ni débit ne peut être traité.\nVoulez-vous continuer?
ScotApp_412,"Avec l'ajout de cet article, vos achats dépasseront %s.\n Veuillez payer maintenant et acheter d'autres articles séparément."
ScotApp_546,Vous êtes trop jeune pour acheter cet article. \nVeuillez le mettre de côté et poursuivre vos achats.
ScotApp_553,"Les coupons ne sont acceptés qu'à la fin de vos achats.\nVeuillez les mettre de côté et poursuivre."
ScotApp_211,Traitement en cours...\nVeuillez attendre.
ScotApp_1400,Préposé à distance
ScotApp_1754,Les lettres ne correspondent pas à un article.
ScotApp_1859,"Achat d'un panier complet de %s? Sélectionnez ""Oui"" ou ""Non""."
ScotApp_533,"Vous ne pouvez acheter cet article pour l'instant.\nVeuillez le mettre de côté et poursuivre vos achats."
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Choisissez le récipient pour vos: %s
ScotApp_703,"Utilisez le clavier NIP.  Appuyez sur ""Annulez"" pour annuler le paiement."
ScotApp_125,Entrez date de naissance du client %s et appuyez sur « Approuver »
ScotApp_1853,"Introduisez au clavier la date de naissance du client %s et appuyez sur ""Entrée""."
ScotApp_654,Format de la date doit être %s.Valeur entrée: %s
ScotApp_560,"Ce système n'accepte pas les coupons."
ScotApp_1788,Is %d correct? \n\nA Prix du sac en %s qui sera ajouté à votre total. 
ScotApp_1358,Montant de la carte cadeau %s a été utilisé pour votre achat.\n\nVotre solde de carte cadeau est %s.
ScotApp_167,Le coupon ne correspond à aucun des articles achetés.\n\nCe coupon ne peut être accepté.
ScotApp_164,"Le système ne reconnaît pas ce code d'article.\n\nAssurez-vous d'avoir entré"
ScotApp_547,"Numéro d'opérateur et mot de passe incorrects.\n\nVeuillez essayer à nouveau."
ScotApp_442,"%s de vos achats peuvent être réglés à l'aide de coupons alimentaires.\n\n%s"
ScotApp_443,%s sera porté à votre compte.\n\nCela vous convient-il ?
ScotApp_700,Article ne peut être vendu à cette caisse.\nUn employé vous assistera.\n\nMettez l’article de côté et continuez vos achats.
ScotApp_165,"Le système ne reconnaît pas cet article.\nVous recevrez bientôt de l'aide.\n\nMettez l'article de côté et continuez vos achats."
ScotApp_182,Le montant entré pour ce coupon est trop élevé.\n\nCe système ne peut accepter ce coupon.
ScotApp_733,Carte refusée.\nUtiliser une autre carte ou payer en argent.
ScotApp_812,Merci d’utiliser NCR SelfServ Checkout.\nVeuillez remettre votre carte cadeau à la caissière.
ScotApp_1826,Aimeriez-vous sauvegarder vos préférences sur votre carte de fidélité?
ScotApp_1852,Veuillez retirer l’article annulé de la zone d’ensachage.
XM_ProcessingCashTextV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n"
XM_CoinHoppersV6HW,Trémies à pièces
XM_CoinBoxV6HW,Boîte à pièces - %d - %s
XM_AddCashLeadthruV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n•   Touchez ""Activez la goulotte à  pièces"" pour ajouter des\n     pièces dans la goulotte de remplissage.\n•   Touchez ""Configurer le chargeur"" pour ajouter des billets au chargeur."
XM_ConfirmTransferNotesToBaseLevelV6HW,Transférez les billets à la boîte à billets\n\nMontant à transférer : %s\nCompte à transférer : %d\n\nLe processus de transfert peut prendre plusieurs minutes.
XM_ConfirmTransferAllNotesV6HW,Transférez tous les billets à la boîte à billets\n\nMontant à transférer : %s\nCompte à transférer : %d\n\nLe processus de transfert peut prendre plusieurs minutes.
XM_ResetCoinsAllCoinsV6HW,Distribuez toutes les pièces
XM_ResetCoinHopperCountsV6HW,Remettez à zéro les comptes des trémies à pièces
XM_ResetNoteBoxCountsV6HW,Remettez à zéro la boîte à billets
XM_MenuNoteBoxTransferV6HW,Transferts à la boîte à billets
XM_FinishedAddingCashV6HW,"Une fois l'addition des espèces terminée, touchez ""OK""."
XM_OKV6HW,OK
XM_SetupLoaderV6HW,Configurer le chargeur
XM_SetupLoaderLeadthruV6HW,"•   Entrez le montant/compte de la dénomination par défaut ""%s""\n     du chargeur et touchez ""OK"".\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_NoteLoaderV6HW,Chargeur de billets
XM_EnableCoinInputBowlV6HW,"Activez le bol d'admission des pièces"
XM_EnableCoinRefillChuteV6HW,Activez la goulotte à  pièces
XM_EnableCoinAcceptorV6HW,"Activez  l'accepteur des pièces"
XM_TopOffCashPrintStatusV6HW,"Complétez le chargement d'espèces ou imprimez le statut"
XM_TransferOperationPreemptiveV6HW,"Transfert de billets en cours... Veuillez attendre.\n\nNE PAS ENLEVER LA BOÎTE À BILLETS ou   \nautres dispositifs tant que l'opération n'est pas terminée."
XM_TransferOperationInstructionV6HW,Transfert terminé.\nRetirez tous les billets de la boîte à billets et remettez à zéro la boîte à billets.
XM_PendingDispenseV6HW,Distribution en suspens %d - %s
XM_PendingTransferV6HW,Transfert en suspens %d - %s
XM_PendingResetV6HW,Remise à zéro en suspens %d - %s
XM_ConfirmResetNoteBoxV6HW,"Remettez à zéro le compte/la valeur de la boîte à billets\n\nMontant à remettre à zéro : %s\nCompte à remettre à zéro : %d\n\nMontant après la remise à zéro de la boîte à billets :0,00 $\nCompte après la remise à zéro de la boîte à billets : 0"
XM_PendingCashRemoveV6HW,"Ouvrez la porte du coffre-fort, retirez la boîte\nà billets et tous les billets.\nRemettez la boîte à billets vide.\nUne fois l'opération terminée, touchez ""OK""."
XM_LeadThruResetNoteBoxFunctionV6HW,"Fonctions de réinitialisation\n•   Remettez à zéro le compte de la boîte à billets.\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_AllV6HW,Tous
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Transferts à la boîte à billets\n•   Pour transférer des billets, touchez ""Appliquer les changements"".\n•   Pour annuler, touchez ""Annuler les changements""."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Chargement en cours... Veuillez attendre.
XM_SetupLoaderAlertConfirmationV6HW,"Configurer le chargeur\nAssurez-vous que le chargeur est inséré avec les bonnes valeurs, puis touchez ""OK"" pour charger les billets."
XM_SetupLoaderAlertConfirmation1V6HW,"Configurer le chargeur\n\nAjoutez des billets dans le chargeur et assurez-vous que le chargeur est inséré, puis touchez ""OK"" pour charger les billets."
XM_SetupLoaderConfirmationV6HW,"Configurer le chargeur\n\n%s Statut des billets dans le chargeur :\n\nMontant d'origine/de départ : %s\nCompte d'origine/de départ : %d\nMontant à ajouter au chargeur : %s\nCompte à ajouter au chargeur : %d\n\nLes billets non désignés pour le flottement ou la distribution doivent être placés au bas du chargeur. Les billets au bas du chargeur seront automatiquement comptés et chargés jusqu'à obtention de la dénomination du chargeur.\n\nLe processus de chargement peut prendre plusieurs minutes."
XM_SetupLoaderConfirmation1V6HW,Configurer le chargeur\n\nTous les billets du chargeur seront automatiquement\n chargés et comptés.\n\nLe processus de chargement peut prendre plusieurs minutes.
XM_PendingNotesAddedV6HW,Billets par défaut ajoutés %d - %s
XM_ProcessingCashV6HW,"Traitement d'espèces"
XM_ProcessingCashLeadThruV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets."
XM_SetupLoaderLeadThru1V6HW,"•   Pour ajouter des billets au chargeur, touchez ""Appliquer les changements"".\n•   Pour annuler, touchez ""Annuler les changements""."
XM_LeadThruDispenseFunctionV6HW,Fonctions de distribution\n•   Entrez le montant/compte %s de billets avec le clavier.
XM_LeadThruDispenseFunction1V6HW,"Fonctions de distribution\n•   Pour distribuer des pièces, touchez ""Appliquer les changements"".\n•   Pour annuler, touchez ""Annuler les changements""."
XM_ConfirmCoinDispenseAllV6HW,Distribuez toutes les pièces\n\nMontant à distribuer : %s\nCompte à distribuer : %d
XM_DispenseOperationPreemptiveV6HW,"Distribution de pièces en cours.\n\nRetirez les pièces du bol des pièces lorsque celui-ci est plein et touchez ""OK""."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Distribuer les pièces au niveau de base\n\nMontant à distribuer : %s\nCompte à distribuer : %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Fonctions de réinitialisation\n•   Remettez à zéro les comptes de trémie à pièces.\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_ResetCoinHopperLeadThruV6HW,"Retirez les pièces des trémies à pièces. Remettez-les\nTrémies à pièces vides.\n\nUne fois l'opération terminée, touchez ""OK""."
XM_LoaderCountEnteredExceededCapacityV6HW,Le compte du chargeur saisi dépasse la capacité. Le compte maximal du chargeur permis est %d.
XM_CoinHopperPendingResetV6HW,Remise à zéro en suspens %d - %s
XM_ConfirmResetCoinHopperV6HW,Remettez à zéro la valeur/les comptes des trémies à pièces\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nRemettez à zéro le montant : %s Compte : %d\n
XM_ConfirmResetCoinHopper2V6HW,\nAprès la remise à zéro :\nPièces dans la trémie : %s Compte : %d\nPièces dans la boîte à pièces : %s Compte : %d
XM_SignSigTouchDisplayV6HW,"Veuillez signer sur l'afficheur tactile."
XM_LeadThruCashManagementErrorV6HW,Erreur de gestion des espèces
XM_LoanPickupUpdateFailureV6HW,Échec de mise à jour de la gestion des espèces
XM_LoanPickupUpdateNoResponseV6HW,Aucune réponse du PDV lors de la mise à jour du statut de la gestion des espèces
XM_LoanPickupUpdateFailureInstructionV6HW,"\n•   Touchez 'Essayez à nouveau' pour la mise à jour.\n•   Si l'erreur se reproduit, prenez contact avec le personnel de gestion du\n    magasin.\n•   Cette erreur ne sera pas supprimée tant qu'une mise à jour réussie n'est pas\n    réalisée."
XM_LoanPickupUpdateNoResponseInstructionV6HW,"•   Signalez immédiatement cette erreur au personnel de gestion du magasin.\n•    La mise à jour du statut de la gestion des espèces n'a peut-être pas été faite.\n•   Allez à l’écran Fonctions utilitaires."
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Touchez ""Générer des fichiers journaux de diagnostic"", puis ""Arrêter tout le système"".\n•   Remettez le système en marche.\n•   Si l’erreur se reproduit, générez un autre fichier journal de diagnostic et appelez le service.\n"
XM_CashManagementErrorRetryButtonV6HW,Essayez à nouveau
XM_CannotCompleteTransferV6HW,"Impossible de terminer le transfert.\n Il n'y a pas suffisamment d'espace dans la boîte à billets. Veuillez vider la boîte à billets avant d'exécuter cette opération."
XM_CashStatusLeadthruV6HW,"•   Imprimer l’état de l’argent.\n•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n•   Une fois l'opération terminée, touchez ""Quitter""."
XM_NonDispensableCoinsV6HW,Pièces non à distribuer
XM_DispensableCoinsV6HW,Pièces à distribuer
XM_ConfirmNoteDispenseV6HW,Distribuez les billets\n\nMontant à distribuer : %s\nCompte à distribuer : %d
XM_DispenseNoteFullPreemptiveV6HW,"Veuillez prendre les billets\n\nBillets à distribuer en lots de %d.\nLa distribution est en pause jusqu'à l'enlèvement de tous les billets."
XM_NoteBoxV6HW,Boîte à billets
XM_NoteRecyclerV6HW,Recirculateurs de billets
XM_DispenseCoinsToBaseLevelV6HW,Distribuez les pièces au\nniveau de base
XM_TransferNotesToBaseLevelV6HW,Transférez les billets au niveau de base
XM_TransferAllNotesV6HW,Transférez tous les billets
XM_LeadThruNoteBoxTransferV6HW,"Transferts à la boîte à billets\n•   Sélectionnez la fonction de transfert souhaitée.\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_LeadThruResetFunctionV6HW,"Fonctions de réinitialisation\n•   Sélectionnez la fonction de réinitialisation souhaitée.\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_LeadThruDispenseFunction2V6HW,"Fonctions de distribution\n•   Touchez la dénomination des billets et entrez le montant/compte ou\n    sélectionnez la fonction.\n•   Une fois l'opération terminée, ""Appliquer les changements""."
XM_DispenseThresholdV6HW,Le nombre entré a dépassé le compte disponible à distribuer.\nLe compte maximal était entré : %d
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Veuillez attendre ...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Configurer le chargeur
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
