AmountSaved,Iznos Ušteđen
ScotApp_1652,(ggmmdd)
ScotApp_1123,"* NE nastavljajte dok ne uklonite sve zaglavljene novcanice.\n* Pažljivo izvadite izdavac novcanica iz kucišta.\n* Uklonite zaglavljene novcanice na vrhu izdavaca novcanica bez ometanja traka.\n* Gurnite izdavac novcanica u kucište.\n* Zakljucajte vrata, zatim pritisnite ""Ispravio sam grešku""."
ScotApp_1342,Izaberi uslužni program
ScotApp_1332,Prostor
ScotApp_1586,%s    %s  %s
ScotApp_1444,Sklonite
ScotApp_1598,Postavke su Aktivirane.
ScotApp_1651,(ggggmmdd)
ScotApp_1122,* Postoji mogucnost da se na izlaznom otvoru izdavaca novcanica zaglavila novcanica.\n* Uklonite sve zaglavljene novcanice sa prikazanog podrucja.
ScotApp_1331,Pomicati
ScotApp_1585,Kanti        Vrijednost  Promjena u Vrijednosti
ScotApp_1118,* Problem s izdavanjem %s novcanica.\n* %s novcanice se nisu mogle povuci iz kasete za novcanice.\n* Uklonite %s kasetu za novcanice i provjerite stanje novcanica.
ScotApp_1884,Smart Assist alarm 
ScotApp_1191,NEDOSTAJE MJERA
ScotApp_1121,* Postoji mogucnost da se na izlaznom otvoru izdavaca novcanica zaglavila novcanica.\n* Djelomicno izvadite izdavac novcanica iz kucišta.\n* Uklonite zaglavljene novcanice.\n* Pažljivo vratite izdavac novcanica u kucište.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Proizvod nije upakiran
ScotApp_1355,Vaš Kredit
ScotApp_1584,Kanti             Zbroj  Promjena u Zbroju
ScotApp_465,%s               %s
ScotApp_365,Zaglavljenje glave pisača
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Potpis:
ScotApp_433,433unused
ScotApp_333,Zaglavljenje u zatvaraču Čitača kartica
ScotApp_233,* Provjerite je li akceptor novcanica ispravno  umetnut.\n* Povucite rucku prema naprijed da biste otpustili i gurnuli akceptor novcanica naprijed.\n* Gurnite akceptor novcanica natrag dok se ne zaustavi.
ScotApp_133,133unused
ScotApp_1120,"* Moguce zaglavljenje novcanica ispred %s kasete za novcanice.\n* Uklonite %s kasetu i provjerite zaglavljenje novcanica u tom podrucju.\n* Ako je moguce, uklonite zaglavljene novcanice i zamijenite kasetu za novcanice."
ScotApp_1805,Izlaz od Postupka Samo Gotovina
ScotApp_933,Težina Naslagana
ScotApp_833,833unused
ScotApp_1337,Izlaz SelfServ Checkout
ScotApp_1780,POČETAK PRIJENOSA
ScotApp_712,712unused
ScotApp_612,Dodaj težinu
ScotApp_512,Vizualni Dokaz Valjanosti
ScotApp_312,kanta je zaglavljena
ScotApp_212,212unused
ScotApp_112,Potvrdite Količinu
ScotApp_1081,Prikaži\nsve trake
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Dovršite Ponudu Novca.  Ostatak Dužan.
ScotApp_478,Kuponi su ostavljeni.
ScotApp_378,Ispis računa
ScotApp_278,Sigurnosni zapis
ScotApp_1127,Ponovno se spojite
ScotApp_1802,Prihvaćene su Samo Kartice
ScotApp_978,Prag = %d
ScotApp_878,Unesite Cijenu.
ScotApp_1533,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1787,Unesite broj od plastične vrećice koju ste upotrebili ili 0 ako niste upotrebili niti jednu vrećicu.
ScotApp_1799,Postupak Samo Kartice
ScotApp_1309,* Umetnite kasetu dok se u potpunosti ne zakvaci.\n* Provjerite da li se motor akceptora brzo ukljucuje.
ScotApp_1323,Težina ostaje
ScotApp_1079,Ponovo odložite skeniran proizvod na remen.
ScotApp_1382,Stand.
ScotApp_1532,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1786,Cijena plastične vrećice
ScotApp_1094,Ispiši potpise
ScotApp_1113,  %s do %s/%s\t%s
ScotApp_1798,Postupak Samo Gotovina
ScotApp_1322,Greška u senzoru kupona\nKomunikacija nije uspjela.
ScotApp_1078,Odaberite postavku za očekivanje težine. (Kupac treba staviti proizvod na traku.)
ScotApp_1334,  Proizvod nije na remenu
ScotApp_1785,Nevažeca prijava. Molimo prijavite se ponovo koristeci tipkovnicu ili svoj otisak prsta.
ScotApp_1046,Molim vas odnesite vaš %s blagajniku na postaju za plaćanje.
ScotApp_1696,Stanje ispravljeno
ScotApp_1112,  %s do %s %s/%s\t%s
ScotApp_1158,PinPad/EPS (Elektronski Prijenos Sredstava) Greška uređaja
ScotApp_1065,1065unused
ScotApp_1321,Kraj Plaćanja s Vaučerima. Kredit Dužan.
ScotApp_764,764unused
ScotApp_1530,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1784,PROIZVOD MNOGOSTRUKI
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Količina %s do %s/%s\t%s
ScotApp_753,Jučer po satu
ScotApp_653,"Unesite vrijednost kupona u centima i pritisnite ""Unesite""."
ScotApp_453,Status akceptora kovanica - pun
ScotApp_353,Vrati se natrag
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Početak Plaćanja s Vaučerima
ScotApp_953,"* Zatvorite i ponovo pokrenite terminal.\n\n* Okrenite kljuc Nadglednika prema ‘S’ –ILI- pritisnite tipku Nadglednika.\n* Odaberite ""Izvodi ADD na Sljedecim Prekid rada racunala"". Odaberite ""Da"" za potvrditi.\n* Odaberite ""Zatvorite Cijeli Sistem"".\n* Kad je ekran prazan, ugasite terminal na NIN (Neprekidni Izvor Napajanja) ili na energiju trake.\n* Ukljucite terminal.\n* Provjerite slucajne nadzornike.\n* Ako se kvar ponovi, zovite pomoc."
ScotApp_853,Četiri Proizvoda
ScotApp_1845,Priznanica
ScotApp_1537,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Ograničen Proizvod
ScotApp_432,EBT
ScotApp_332,Napuštanje Postupka podrške
ScotApp_232,* Uklonite akceptor novcanica i kasetu.\n* Provjerite zaglavljenje u kaseti.\n* Otvorite pristupna vratašca na vrhu akceptora i provjerite zaglavljenje novcanica.\n* Cvrsto zatvorite pristupna vratašca.\n* Zamijenite akceptor i kasetu.
ScotApp_132,132unused
ScotApp_1110,  Količina %s do %s/svaki\t%s
ScotApp_1242,DEBIT
ScotApp_1285,Omiljen
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Pritisnite željeni izvještaj, zatim pritisnite ""Pokreni izvještaj""."
ScotApp_711,711unused
ScotApp_611,Odaberite željenu funkciju.
ScotApp_511,Uporedite potpis kupca s onim na kartici.
ScotApp_411,Uzmite Karticu Vjernosti
ScotApp_311,kanta je prazna
ScotApp_111,Ponovo Postavite Vagu
ScotApp_1789,KUPON
ScotApp_1536,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_911,Očisti zaštitu
ScotApp_811,Skenirajte vašu poklon-karticu. Molim vas provjerite vašu košaru za dodatne proizvode.
ScotApp_1628,Greška CPJ
ScotApp_1523,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1349,%s\n %s\n%s %s ocekivano\n%s %s opaženo
ScotApp_1892,Analiza sigurnosti
ScotApp_1279,ČEK
ScotApp_1535,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1057,1057unused
ScotApp_1441,Upravljanje kovanicama
ScotApp_1313,* Provjerite pisac radi zaglavljenja.\n* Ponovo napunite papir.\n* Pravilno ugasite i ponovno pokrenite terminal.
ScotApp_1681,Greška u Preradniku Novčanica
ScotApp_1069,1069unused
ScotApp_1325,Stavite Proizvod na Vagu.
ScotApp_1278,USERDEFINED20
ScotApp_1103,Prethodni
ScotApp_1534,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1056,1056unused
ScotApp_1312,* Uklonite kasetu za novcanice.\n* Otvorite i uklonite novcanice.\n* Zatvorite i ponovno ih umetnite u akceptor.\n* Provjerite da li se motor akceptora ukljucuje i da li seupalila zeleno LED svjetlo.
ScotApp_1265,USERDEFINED7
ScotApp_1850,Greška u uređajima
ScotApp_1213,NEPOZNATO
ScotApp_1521,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_139,Uzmite Priznanicu
ScotApp_1043,Koristite Postupak podrške za primitak %s od kupca
ScotApp_1401,Pomoc u tijeku.\n\nMolim vas pricekajte…
UnknownItemMessage,Stiže pomoć.\n\nStavite proizvod sa strane i nastavite..
TimeRestrictedItemMessage,Vi ste nemoćni za kupiti ovaj proizvod u ovo vrijeme. \n\nStavite proizvod sa strane i nastavite.
ItemQuantityExceededMessage,Prekoračili ste količinu dozvoljenu za ovaj proizvod.\n\nMolim vas sklonite ga sa strane i nastavite.
WeightMismatch,Provjera težine proizvoda.\n\nMolimo pričekajte...
ItemQuantityExceeded,Ograničenje količine prekoračeno
WaitForRemoteAssistanceTitle,Daljinski poslužitelj
ScotApp_489,Hvala vam zbog korištenja NCR SelfServ Blagajne.
ScotApp_273,Nemojte skenirati u ovo vrijeme.\nOdložite proizvod sa strane.
ScotApp_431,Nevažeca Kartica Lojalnosti. Molimo provjerite.
ScotApp_410,Pomoć je potrebna za:
ScotApp_1739,"Molim vas pričekajte jednog dežurnika.\n Sustav ne može provjeriti vaše kesice.\nAko ste slučajno stavili nešto drugo osim kesice u zonu pakiranja, molim vas sklonite ga odmah."
ScotApp_73,Povratak na Postupak kupovine
ScotApp_772,Podnesen je zahtjev za obustavom aktualne transakcije.\nMolimo potvrdite ili otkažite ovaj zahtjev.
ScotApp_530,Kartica nije pročitana pravilno.\nUpotrebite različitu karticu\n  -ili-\nPlatite u gotovini.\n  -ili-\nPozovite Pomoć.
ScotApp_524,Ubačen nepravilan PIN.\nPonovo ubacite PIN u uređaj plaćanja.
ScotApp_397,Za prodaju važecih artikala koristite Postupak podrške.\nPrikupite druge proizvode - nisu na prodaju
ScotApp_171,"""%s""\n\nDali je %d ispravno?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Transakcija je zaustavljena. Sklonite sve proizvode sa strane.
ScotApp_495,Prekoračili ste količinu dozvoljenu za ovaj proizvod.\n\nMolim vas sklonite ga sa strane i nastavite.
ScotApp_529,"Izbacite karticu, zatim...\nProvucite različitu karticu\n  -ili-\nPlatite u gotovini\n  -ili-\nPozovite Pomoć."
ScotApp_275,Nemojte umetnuti platnu karticu u ovo vrijeme.\nUzmite vašu karticu.
ScotApp_1891,Sustav vrši provjeru \nMolim vas pricekajte…
ScotApp_1750,Molimo pricekajte dok obradimo Vaš otisak
ScotApp_169,Želi te nastaviti s vašom kupovinom?
ScotApp_415,Uzmite vašu Krticu Vjernosti.\nKartica je umetnuta ispred.
ScotApp_1793,Ovaj uređaj prihvatiti će samo kreditne i debitne kartice u ovo vrijeme. \nDa li želite nastaviti?
ScotApp_477,Ostavite vaše kupone.\nNakon štampanja vaše priznanice:\n-- Skupite vaše proizvode.\n—Odnesite račun i kupone blagajnici.
ScotApp_177,Cijela kupovina je poništena. Odložite sve proizvode sa strane.
ScotApp_656,Molim vas sklonite <%s> sa strane.\n\ Povezana trgovina će vam pomoći.
ScotApp_1709,Nemoj te ubaciti novčanice ili novčiće u ovo vrijeme.\nMolim vas uzmite vaš povratni novac.\nBilješke su djeljene ispod skenera.
ScotApp_435,"Odaberite vrstu naknade.\nAko želite upotrebite bonove za hranu, trebate ih upotrebiti prije druge naknade."
ScotApp_808,Odnesite proizvode sa zaštitnim etiketama poslužitelju za ukidanje.
ScotApp_294,"Za pomoć trgovine, pritisnite tipku ""Zahtjev za Pomoć""."
ScotApp_1287,Molim vas pričekajte...\nProvjera težine proizvoda.
ScotApp_525,"Ubačen nepravilan PIN.\nIzbacite Karticu, zatim...\nUmetnite različitu karticu\n  -ili-\nPlatite u gotovini"
ScotApp_480,"Molim vas pritisnite ""OK"" zatim odnesite vašu transakciju i proizvode blagajniku."
ScotApp_1751,"Pomaknite svu težinu s vage i pritisnite ""Nastaviti""."
ScotApp_175,"Dali želite izbrisati\n""%s""\n iz priznanice?"
ScotApp_1746,Server za prepoznavanje otisaka nije dostupan.\nMolimo pokušajte ponovo.
ScotApp_1839,Molim vas pričekajte blagajnika.\nNemojte skenirati u ovo vrijeme. Postavite proizvod sa strane.
ScotApp_501,"Molim vas potpišite priznanicu, i pričekajte za potvrdu trgovine."
ScotApp_414,Uzmite vašu Krticu Vjernosti.\nPopust nemože biti primjenjen vašoj sadašnjoj kupovini. Bit ce Vam poslani.
ScotApp_563,Tijekom pokretanja Hard Totals pojavila se greška.\nSada cete izaci iz aplikacije.
ScotApp_263,Nemože se poništiti proizvod sve dok njegov kupon nije poništen.\nPoništite naj prvo kupon proizvoda.
ScotApp_800,"Molim vas provjerite vašu košaru.\n\nSkenirajte dodatne proizvode sad ili \nPritisnite ""OK"" za platiti."
ScotApp_134,Ovlaštenje u uspjehu. \nMolim vas pričekajte.
ScotApp_620,Unesite odstupanje
ScotApp_161,"%s\nUpotrebite tipkovnicu za ubaciti količinu i pritisnite ""OK""."
ScotApp_440,Kredit od vaše gotovinske naknade je manji od koliko je potrebno.\nDali želite upotrijebiti vašu ostalu gotovinsku naknadu od%s za ovu kupivinu?
ScotApp_184,%s biti će ustegnuto s računa.
ScotApp_274,Nemojte umetnuti novac u ovo vrijeme.\nUzmite vaš novac.
ScotApp_1744,Uredaj nije prepoznao vaš otisak.\nMolimo pokušajte ponovo.
ScotApp_160,Proizvod je ukinjen. \nDolazi pomoć.\n Namjestite proizvode sa strane i nastavite s vašom kupovinom.
ScotApp_1795,"Ili ograničite na ""Samo Kartice""."
ScotApp_159,Cjena proizvoda je nepoznata. \nDolazi pomoć.\nNamjestite proizvode sa strane i nastavite s vašom kupovinom.
ScotApp_458,Odaberite vrstu naknade.\nBonovi za hranu ne mogu se upotrebiti za ovu kupovinu.
ScotApp_1329,Molim vas pričekajte...\n Provjera težine proizvoda.\nDupla težina je upakirana.
ScotApp_407,Greška u čitanju kartice.\n* Pokušajte različitu karticu\n  -ili-\n* Zahtjev za pomoć
ScotApp_706,"Vaš kredit bona za hranu je manji od cijelog za ovu kupovinu.\nPritisnite ""OK"" za upotrebiti različiti način plaćanja."
ScotApp_606,Izbriši unos težine
ScotApp_906,Molim vas uzmite vaše proizvode.
ScotApp_705,"Vaš kredit gotovinske naknade je manji od cijelog za ovu kupovinu.\nPritisnite ""OK"" za upotrebiti različiti način plaćanja."
ScotApp_605,Dodaj unos težine
ScotApp_405,Greška u čitanju kartice.\n* Pokušajte različitu karticu\n  - ili-\n* Platite u gotovini\n  -ili-\n* Zahtjev za pomoć
ScotApp_491,Molim vas uzmite vašu karticu.
ScotApp_818,Molim vas pričekajte blagajnika.\nPomoć je potrebna za:
ScotApp_1796,"Ili ograničite na ""Samo Gotovina""."
ScotApp_438,Kredit od vaših bonova za hranu je manji od koliko je potrebno.\nDali želite upotrijebiti vašu ostalu naknadu od bonova za hranu od %s za ovu kupovinu?
ScotApp_1596,"Želite spasiti %s kao vaš povlašten jezik na vaš %s?\nOdaberite ""Da"" ili ""Ne""."
ScotApp_766,%s biti će zacjenjen na vaš račun.
ScotApp_166,Dolazi pomoć.\nMolim vas nastavite s vašom kupovinom.
ScotApp_413,Uzmite vašu Krticu Vjernosti.\nDiskontirana cijena biti će primjenjena.
ScotApp_1797,"Popravna akcija nije ispravila grešku. \nMolimo vas pokušajte ponovo ili ograničite na ""Samo Gotovina""."
ScotApp_178,Pričekajte za potvrdu trgovine.\nPotrebna je potvrda za:
ScotApp_790,Vaša kartica je propala.\nMolim vas odaberite jedan različiti način plaćanja.
ScotApp_1794,Ovaj uređaj prihvatiti će samo gotovinu u ovo vrijeme. \nNiti kredit niti debit ne može biti obrađen.\nDa li želite nastaviti?
ScotApp_412,Ovaj proizvod će prouzročiti vašu kupovinu da prekorači %s.\nMolim vas platite sada i kupite ostale proizvode posebno.
ScotApp_546,Vi nemate dovoljno godina za kupiti ovaj proizvod.\nMolim vas sklonite ga sa strane i nastavite s vašom kupovinom.
ScotApp_553,Kuponi će biti prihvaćeni na kraju vaše kupovine.\nMolim vas sklonite ih sa strane i nastavite.
ScotApp_211,Obrada...\nMolim vas pričekajte.
ScotApp_1400,Daljinski poslužitelj
ScotApp_1754,Slova ne odgovaraju niti jednom proizvodu.\nMolim vas pokušajte ponovo.
ScotApp_1859,"Kupujete cijelo pakiranje od %s? Odaberite ""Da"" ili ""Ne""."
ScotApp_533,Vi ste nemoćni za kupiti ovaj proizvod u ovo vrijeme.\nMolim vas sklonite ga sa strane i nastavite s vašom kupovinom.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Odaberite Spremnik za Vaše: %s
ScotApp_703,"Upotrebite PIN taster. Pritisnite ""Ukinuti"" na PIN tasteru za izbrisati plaćanje. "
ScotApp_125,"Utipkajte datum rođenja kupca %s i dotaknite ""Potvrditi""."
ScotApp_1853,"Unesite datum rođenja kupca %s i pritisnite ""Unesite""."
ScotApp_654,Datum bi trebao biti u %s formatu. Cijena utipkana je: %s
ScotApp_560,Ovaj sustav ne prihvaća kupone.
ScotApp_1788,%d\nJe li pravilno? \n\nCijena jedne vrećice od %s biti će dodana vašem iznosu.
ScotApp_1358,Iznos Poklon-kartice od %s biti će primjenjen za vašu kupovinu. \n\nSaldo vaše Poklon-kartice je %s. 
ScotApp_167,Kupon ne odgovara s niti jednim proizvodom.\n\nOvaj kupon nemože biti prithvačen.
ScotApp_164,Sustav ne prizna taj kod proizvoda. \n\nUvjerite se da je ispravan broj bio umetnut. 
ScotApp_547,Neispravni broj i lozinka operatera.\n\nMolimo pokušajte ponovo.
ScotApp_442,%s od vaše kupovine može biti plaćena s bonovima za hranu.\n\n%s
ScotApp_443,%s biti će zacjenjen na vaš račun.\n\nJeli u redu?
ScotApp_700,Proizvod ne može biti prodan na ovoj traki.\nDolazi pomoć.\n\nSklonite proizvod sa strane i nastavite s vašom kupovinom.
ScotApp_165,Sustav ne prizna ovaj proizvod. \nDolazi pomoć.\n\nOdložite proizvode sa strane i nastavite s vašom kupovinom.
ScotApp_182,Iznos koji ste ubacili za ovaj kupon je pre visok.\n\nOvaj sustav nemože prihvatiti taj kupon.
ScotApp_733,Kartica je propala.\nUpotrebite različitu karticu ili platite s gotovinom.
ScotApp_812,Hvala vam zbog korištenja NCR SelfServ Blagajne.\nMolim vas odnesite vašu poklon-karticu blagajniku.
ScotApp_1826,Želite li sačuvati vaše postavke na svoju Karticu Lojalnosti?
ScotApp_1852,Molimo uklonite poništeni proizvod sa područja pakiranja.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Molimo pričekajte...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
