AmountSaved,Sutaupyta suma
ScotApp_536,Monetų priėmimo įtaisas
ScotApp_385,385unused
ScotApp_285,Skeneris: netinkamas žymos sufiksas
ScotApp_185,Palyginkite kliento parašą su esančiu kortelėje.
ScotApp_1224,REIKIA KAINOS
ScotApp_985,Padėkite prekę ant juostos.
ScotApp_885,Pakavimo įspėjimas
ScotApp_575,Baigti mokėjimą pinigais.  Balansas.
ScotApp_475,Laikinai sustabdyti operaciją
ScotApp_375,Nesulaukta spausdintuvo veiksmo per skirtąjį laiką
ScotApp_1002,Neparduod.
ScotApp_1888,Apsaugos sumetimais stebėkite kliento operaciją ir palieskite „Apsaugos išjungimas“.
ScotApp_910,910unused
ScotApp_1592,"Išimkite monetas iš dėžės, kurioje susidarė kamštis. Paverskite dėžę. Pasukite varžtą pagal laikrodžio rodyklę, kol monetą bus galima išimti. Nenaudokite pernelyg didelės jėgos."
ScotApp_875,Vyr. kasininko ID norint panaikinti pirkimo procedūrą
ScotApp_1014,Nuimkite susikaupusias ant juostos prekes.
ScotApp_1572,"Ar tikrai norite nepaisyti pokyčių ekrane ""Monetų tvarkymas""?"
ScotApp_1790,Tik kreditinė/debetinė
ScotApp_1344,"Programa ""Security Manager"" įkelta."
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Formos %d išsaugoti nepavyko!
ScotApp_498,Sumokėta suma:
ScotApp_398,Kasetė įdėta
ScotApp_298,298unused
ScotApp_198,"Įkeliama programa ""User Exits""..."
ScotApp_998,Kiekis
ScotApp_898,Išjungiama programa WTINFO...
ScotApp_1416,"Patikrinti, ar pakuotė sudėtinė"
ScotApp_1431,Anuliuoti viską
ScotApp_1236,Apdorojama ataskaita...
ScotApp_1770,Rinkitės iš paieškos rezultatų.
ScotApp_1000,Nerasta
ScotApp_1439,"Viršyta parametro ""Pakavimas į maišus/dėžes"" slenkstinė vertė"
ScotApp_1217,ANULIAVIMAS
ScotApp_759,Perbraukite kortelę per mokėjimo įtaisą.
ScotApp_659,Mažo grynųjų kiekio būklė:
ScotApp_559,Kuponų nėra
ScotApp_459,Šios pirkimo procedūros balansas išliks.
ScotApp_359,Sistemos funkcijos
ScotApp_259,"Išjungiama programa ""Device Manager""..."
ScotApp_1007,Prašoma pagalbos
ScotApp_1438,"Viršyta parametro ""Nauja prekė"" slenkstinė vertė"
ScotApp_959,Masės nustatymo duomenų bazė
ScotApp_859,Ne
ScotApp_1216,APSAUGA
ScotApp_1373,PAIMKITE DOVANŲ KORTELĘ
ScotApp_1005,Vizual.patvirtinimas
ScotApp_1655,Skyriaus pardavimas
ScotApp_1228,LAIKINAI SUSTABDYTA
ScotApp_1725,Apsauga išjungta
ScotApp_1006,Kitas mokėjimas
ScotApp_496,Kiekio apribojimas
ScotApp_1018,m. mažiausiai.
ScotApp_1160,"Patikrinkite, ar prie PIN klaviatūros nugarėlės prijungtas kabelis.\n\nJei kabelis pritvirtintas gerai, palieskite ""Problemą ištaisiau"".\n\nJei klaida išlieka, galinį įrenginį išjunkite ir paleiskite iš naujo."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Jei norite prijungti savo nešiojamąjį skenerį, palieskite ""Prijungti""."
ScotApp_1202,KASA UŽDARYTA
ScotApp_679,Pagalbos ataskaitos
ScotApp_1792,Tik kortelės
ScotApp_1214,KVITAS
ScotApp_1804,Išeiti iš tik kortelių režimo
ScotApp_879,879unused
ScotApp_1072,Reikia informacijos
ScotApp_1631,Banknotų patikrinimo įtaiso klaida
ScotApp_1148,Apsauginių svarstyklių komponentų gedimas
ScotApp_1244,DEBETU SUTAUPYTA
ScotApp_1004,Tikrinti prekę
ScotApp_1282,Reikalinga kaina:
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,KAIN. UŽKLAUSA
ScotApp_1639,Monetų grąžinimo į apyvartą įtaiso klaida
ScotApp_1828,\n    - Garsumo lygis %d%%
ScotApp_1308,PIN įvestas
ScotApp_1417,"Jei prekė yra sudėtinė pakuotė, palieskite ""Pagalbos teikimo režimas"" ir anuliuokite ją, o tada nuskenuokite sudėtinės pakuotės brūkšninį kodą."
ScotApp_1343,"""Security Manager"" įkeliama..."
ScotApp_779,779unused
ScotApp_1429,<<<Liko mažai monetų. Prašome papildyti.>>>
ScotApp_579,579unused
ScotApp_479,Kuponų atidavimas
ScotApp_379,Banknotų priėmimo įtaisas
ScotApp_279,Patvirtinkite visus įrašytus apsaugos dalykus.
ScotApp_179,179unused
ScotApp_1865,Žiūrėti prekę\n be svorio
ScotApp_1207,PATIKRINTAS PARAŠAS
ScotApp_1638,"Patikrinkite monetų grąžinimo į apyvartą įtaiso kabelius ir pamėginkite dar kartą. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros.\n\n""SafePay"" klaida: %s"
ScotApp_979,Slenkstis = %d klientų užklausos
ScotApp_707,Praėjusios 7 dienos
ScotApp_607,Nustatyti priverstinį pakavimą
ScotApp_507,Vizualiai patikrinamos prekės
ScotApp_307,Kitos pakuotės
ScotApp_207,207unused
ScotApp_107,Tuoj sulauksite pagalbos
ScotApp_1219,APRIBOTAS AMŽIUS
ScotApp_907,907unused
ScotApp_807,Nuimti apsaugines žymas
ScotApp_1077,Grąžinkite prekes ant juostos
ScotApp_1428,Pakeiskite kiekį šiai prekei: \n%s
ScotApp_1695,Ištaisyti vėliau
ScotApp_1206,NEDEAKTYVINTA PREKĖ
ScotApp_1218,PAĖMIMAS
ScotApp_1782,PRADĖTI OPERACIJĄ PAGALBOS REŽIMU
ScotApp_1273,USERDEFINED15
ScotApp_1624,Perkelti visus banknotus į kasetę
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,"Įkeliama programa ""NCR SelfServ Checkout SigCap""..."
ScotApp_493,Jūsų kvitas bus atspausdintas po mokėjimo įtaisu.
ScotApp_393,Kontrolinės juostos spausdintuvas
ScotApp_293,Pagalbos prašymas
ScotApp_1205,PAKAVIMO ZONOS SANKAUPA
ScotApp_993,Kasa uždaryta
ScotApp_893,Programa DBM įkeliama...
ScotApp_1063,1063unused
ScotApp_1414,Šios kasos naudoti negalima kol nebus atkurtas energijos tiekimas.
ScotApp_1182,KUPONO SUMOS RIBINĖ VERTĖ
ScotApp_1201,MOKĖJIMAS KAI JUMS PADEDAMA
ScotApp_1075,Riba\Praleisti juostą
ScotApp_1348,Kasa uždaryta
ScotApp_1671,Atidarykite banknotų grąžinimo į apyvartą įrenginį ir išimkite banknotus iš kasetės. Uždarykite grąžinimo į apyvartą įrenginio bloką.\nPaimkite monetas iš piltuvo ir išimkite iš grąžos taurės.
ScotApp_1204,DOKUMENTO NUMERIS
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,KITAS MOKĖJIMAS
ScotApp_27,27unused
ScotApp_1074,Patvirtinimas praleisti juostą.
ScotApp_1472,Grynųjų grąžinimo į įtaisas neparengtas
ScotApp_1026,Panaikinti oper.
ScotApp_1061,1061unused
ScotApp_1617,Įvestas kiekis viršija talpą. Įveskite išdavimo įtaiso dėžės įkrovimo skaičių iš naujo. Didžiausia talpa yra %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Patikrinkite kabelių jungtis į monetų išdavimo įtaisą
ScotApp_1130,Banknotų priėmimo įtaiso klaida
ScotApp_1270,USERDEFINED12
ScotApp_1629,"Problema dėl CPU nuostatų arba ""Sysdata"" parametrų.  Prašome kreiptis dėl techninės priežiūros\n\n""SafePay"" klaida: %s"
ScotApp_1820,"Nuimkite prekę nuo svarstyklių ir paspauskite mygtuką "">0<"", esantį ant skenerio."
ScotApp_882,Patvirtinkite laikiną sustabdymą.
ScotApp_1440,Banknotų tvarkymas
ScotApp_1407,ĮKRAUTI IŠ NAUJO
ScotApp_727,727unused
ScotApp_627,Operacijos Nr.:
ScotApp_527,527unused
ScotApp_427,Mažai pinigų
ScotApp_327,"Įtaisas neprijungtas, patikrinkite jungtis ir (arba) įvykių žurnalą:"
ScotApp_227,Į kortelių skaitytuvą įstatyta netinkama kortelė
ScotApp_127,127unused
ScotApp_665,"Jei norite tęsti, pasirinkite ""Atšaukti viską"" arba ""Grįžti atgal""."
ScotApp_1060,PRAŠOME PALAUKTI...
ScotApp_1616,"Įveskite išdavimo įtaiso dėžės įkrovimo skaičių. Didžiausias kiekis, kurį galite įkrauti, yra %d."
ScotApp_927,Įtaiso sutrikimas
ScotApp_827,Perbraukite prekės brūkšninį kodą virš lentelės ir padėkite ją į pakavimo zoną.
ScotApp_1540,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_900,Padėkite prekę pakavimo zonoje.
ScotApp_1277,USERDEFINED19
ScotApp_865,Patikrinti kortelės turėtoją
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Jokios pakuotės
ScotApp_206,Pasirinktys bus įkeltos.
ScotApp_106,Reikalinga pagalba
ScotApp_1209,DOVANŲ KORTELIŲ RIBINĖ VERTĖ VIRŠYTA
ScotApp_806,Patvirtinti vizualiai patvirtinamas prekes
ScotApp_1067,1067unused
ScotApp_1418,Viršyta didžiausia leidžiama vertė.
ScotApp_1473,"Device is not ready. \n\nTurn power on, check Communication cable, or put unit back into cabinet. "
ScotApp_187,187unused
ScotApp_1716,TS:
ScotApp_1190,ĮVESTAS KUPONAS
ScotApp_1602,     kortelių išdavimo dėžėje atsargų lygis žemas (%s)
ScotApp_1149,Kvitų spausdintuvo klaida
ScotApp_1066,1066unused
ScotApp_1614,Išdavimo įtaiso dėžė
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,"Programa ""NCR SelfServ Checkout Encryptor"" įkelta..."
ScotApp_492,Paimkite savo grąžą.
ScotApp_392,Nežinomos prekės
ScotApp_292,Nuskenuoti kupono negalima
ScotApp_192,192unused
ScotApp_1241,KREDITAS
ScotApp_1197,ATŠAUKTA OPERACIJA
ScotApp_1548,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_992,Įveskite gimimo dieną
ScotApp_892,"Išjungiama programa ""Smart Scale""..."
ScotApp_1053,"Palaukite, kol kasininkas atneš popierinį kvitą pasirašyti"
ScotApp_1404,POS serverio sinchronizacija nutrūko. Prašome galinį įrenginį išjungti jungikliu.
ScotApp_1245,TIKRINAMA DEBETO KORTELĖ
ScotApp_1262,USERDEFINED4
ScotApp_1471,Monetų grąžinimo į įtaiso klaida
ScotApp_1196,VAIRUOTOJO PAŽYMĖJIMO NUMERIS
ScotApp_1052,1052unused
ScotApp_1600,Kortelių išdavimo įtaiso būklė:
ScotApp_1663,dėžė tuščia arba užkimšta
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Monetų dėtuvėje pripildykite visus monetų kanalus iki viršaus.\n\nPereikite į parduotuvės režimą, pasirinkite ""Grynųjų / popieriaus būklė"" ir palieskite mygtuką ""Monetų išdavimo įtaisas pripildytas""."
ScotApp_1183,KAIN. UŽKLAUSA
ScotApp_1470,Banknotų grąžinimo įtaiso klaida
ScotApp_1195,CSA LAIKINAI SUSTABDYTA
ScotApp_1229,PAKVIESTA PAGALBA
ScotApp_1051,Popierinio kvito patvirtinimas
ScotApp_1607,     Atmetimo dėžės būklė normali (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Jūsų dažnai apsilankančio pirkėjo sąskaita suaktyvinta.
ScotApp_347,Apribota prekė panaikinta– amžius neatitinka apribojimo. Prašome atidėti prekę į šalį.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Laikinai sustabdyti
ScotApp_769,Patvirtinkite arba panaikinkite laikiną sustabdymą.
ScotApp_947,Naujo svorio prekė
ScotApp_847,Skenuoti baigta
ScotApp_1477,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_726,726unused
ScotApp_626,Nuokrypis:
ScotApp_526,\nĮvestas neteisingas PIN.\nPerbraukite kita kortele\n   -arba-\nsumokėkite pinigais
ScotApp_426,Kasos Nr.:
ScotApp_326,"Gimimo data neatitinka amžiaus, privalomo norint įsigyti apribotas prekes."
ScotApp_226,Kortelių skaitytuvo įtaisas neveikia
ScotApp_126,(mmddMM).
ScotApp_1606,     Atmetimo dėžės būklė normali
ScotApp_926,Prekės negrąžintos į pakavimo zoną.
ScotApp_826,Šios prekės pakuoti\nnenoriu
ScotApp_1267,USERDEFINED9
ScotApp_1618,"Banknotų išdavimo įtaiso kasetė išimta arba neįstatyta iki galo.\n\nĮdėkite arba iš naujo įstatykite banknotų kasetę, kad ji užsifiksuotų."
ScotApp_1181,VIRŠYTA KUPONŲ SLENKSTINĖ VERTĖ
ScotApp_205,Kopijavimas atliktas.
ScotApp_105,Nežinoma prekė
ScotApp_1476,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1730,Ieškoti
ScotApp_1390,Įtaisas nereaguoja
ScotApp_805,Patvirtinti prekes
ScotApp_1864,Eikite prie kasos takelio
ScotApp_1408,PAGALBA
ScotApp_1266,USERDEFINED8
ScotApp_1180,NĖRA ATITINKAMOS KAINOS
ScotApp_1208,PARDUOTA PAGALBOS TEIKIMO REŽIMU
ScotApp_1475,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1397,Patarnautojas
ScotApp_1748,Prisijungimo pagal piršto atspaudą klaida
ScotApp_718,718unused
ScotApp_618,Svorio nuokrypis
ScotApp_518,Įdėkite pinigus.
ScotApp_1253,PIP LOJALUMAS
ScotApp_1604,     kortelių išdavimo dėžėje atsargų lygis normalus (%s)
ScotApp_218,Spausdintuvas beveik tuščias
ScotApp_118,Reikia patvirtinimo
ScotApp_552,Operatoriaus numeris ir slaptažodis negali prasidėti nuliu.
ScotApp_791,Pasirinkti mokėjimo būdą
ScotApp_691,691unused
ScotApp_591,"Įkeliama programa ""NCR SelfServ Checkout Encryptor""..."
ScotApp_391,"Prekės, kurių kaina nežinoma"
ScotApp_918,Nėra įrašo apie prekės svorį.
ScotApp_1187,ĮTAISO KLAIDA
ScotApp_991,Amžiaus tikr.
ScotApp_891,"Programa ""Smart Scale"" įkelta."
ScotApp_1474,Aparatinės įrangos klaida. Klaidos kodas E%d
ScotApp_1396,Išeiti iš patarnautojo režimo
ScotApp_1252,PIP DEBETAS SU GRYNŲJŲ IŠDAVIMU
ScotApp_1732,Atren. pr. sąrašo vaizdai įkelti.
ScotApp_1461,Monetos
ScotApp_1166,"* Atidarykite spausdintuvo korpuso dureles.\n* Atkabinkite ir pastumkite spausdintuvą atgal.\n* Atidarykite spausdintuvo dangtį, kad patikrintumėte, ar nesusidarė kamščių.\n* Uždarykite spausdintuvo dangtį ir vėl įdėkite popieriaus.\n* Atsargiai patraukite spausdintuvą pirmyn, kol jis užsifiksuos savo padėtyje."
ScotApp_1186,NENUMATYTAS SUMAŽĖJIMAS
ScotApp_1857,  Neuždėkite diržo
ScotApp_1829,Patvirtinti
ScotApp_1670,Monetų/banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_1198,ĮVESTAS SĄSKAITOS NUMERIS
ScotApp_1869,Ranka uždengia vaizdą
ScotApp_1251,PIP DEBETAS
ScotApp_1855,Pasirenkama
ScotApp_767,Pinigų lygis normalus
ScotApp_667,Kortelė nuskaityta. Nuskenuokite savo prekes ir kuponus.
ScotApp_567,Įvesti
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Apsauga
ScotApp_1460,Banknotai
ScotApp_1185,VIRŠYTA PAKAVIMO DĖŽĖS SLENKSTINĖ VERTĖ
ScotApp_1009,Parduotuvės režimas
ScotApp_867,Ne
ScotApp_1856,  Nedėkite į maišą
ScotApp_1677,"Patikrinkite, ar monetų grąžinimo į apyvartą įtaiso durelės uždarytos."
ScotApp_746,746unused
ScotApp_646,T
ScotApp_1394,Skaitmeninės sąsajos klaida
ScotApp_446,Laikinai sustabdyti operaciją
ScotApp_346,Bankomatas (grynųjų išdavimas)
ScotApp_246,246unused
ScotApp_146,Pasirinkite savo mokėjimo tipą.
ScotApp_1501,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1609,     Atmetimo dėžė beveik pilna
ScotApp_1194,ĮGALIOJIMŲ PATIKRINIMO NUMERIS
ScotApp_946,Pakavimo į maišus/dėžes patvirtinimas
ScotApp_846,"Nuskenuokite prekes arba palieskite ""Skenuoti baigta""."
ScotApp_1843,Savo maišelis
ScotApp_1467,"Jei norite iškrauti grynuosius, naudokite ekraną ""Grynųjų / popieriaus būklė""."
ScotApp_725,725unused
ScotApp_625,Įveskite svorio nuokrypį nuo <%s> iki <%s>.
ScotApp_1381,Apdorojama...
ScotApp_425,425unused
ScotApp_325,Įvesta data yra netinkama
ScotApp_225,Kortelių skaitytuvo paėmimo dėžė įdėta
ScotApp_1676,Monetų grąžinimo į apyvartą įtaiso durelės atidarytos
ScotApp_925,925unused
ScotApp_825,Supakuokite prekę
ScotApp_1608,     Atmetimo dėžė tuščia
ScotApp_1842,Pilnos pagalbos teikimas
ScotApp_1808,Pasirinkite prekę iš kvito.
ScotApp_1466,Grynųjų grąžinimo įtaiso būklė: pilnas
ScotApp_1380,kaina
ScotApp_1854,Pasirenkama
ScotApp_1675,Monetų grąžinimo į apyvartą įtaiso klaida
ScotApp_1597,Lojalumo kortelė
ScotApp_1350,%s\n%s %s pridėta
ScotApp_738,738unused
ScotApp_638,Informacija apie efektyvų WLDB nuokrypį
ScotApp_538,538unused
ScotApp_338,Įveskite prekės aprašo pirmąsias tris raides.
ScotApp_238,\nGrynųjų priėmimo įtaisu nepavyko užregistruoti įdėtų grynųjų.\n\nPatikrinkite banknotų kasetę.
ScotApp_138,Paimkite kortelę
ScotApp_1170,"* Atidarykite spausdintuvo dangtį ir patikrinkite, ar parodytoje srityje neįstrigo popierius. \n* Pašalinkite popierių.\n* Uždarykite spausdintuvo dangtį ir vėl įdėkite popierių.\n* Jei klaida išlieka, paleiskite įrenginį iš naujo."
ScotApp_1841,"Nueikite prie kasos takelio, kad patvirtintumėte"
ScotApp_1740,Patikrinti maišelį
ScotApp_938,938unused
ScotApp_838,Susitarimas su klientu
ScotApp_1133,Kamštis banknotų priėmimo įtaise.
ScotApp_1387,"Įvyko kritinė programinės įrangos klaida.\nPaleiskite galinį įrenginį iš naujo.\n\nGalinis įrenginys iš naujo paleidžiamas taip:\Pasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\n* Pasirinkite ""Visos sistemos įkrovimas iš naujo"".\n* Susisiekite su techninės pagalbos tarnyba ir praneškite jiems apie klaidą."
ScotApp_1674,"Kad įstrigusios monetos būtų atlaisvintos, paspauskite atmetimo mygtuką.  Jei klaida vėl įvyksta, gali būti, jog susidarė monetų kamštis. Atidarykite monetų dangtį ir pritvirtinkite.  Jei yra įstrigusių monetų, pašalinkite jas.  Paspauskite atmetimo mygtuką, kad būtų nustatyta iš naujo.  Atlaisvinkite ir uždarykite monetų dangtį."
ScotApp_1650,(ddmmMM)
ScotApp_690,690unused
ScotApp_590,"Išjungiama programa ""Device Factory""..."
ScotApp_490,"Kad pradėtumėte, nuskenuokite savo prekes arba palieskite ""Pradžia""."
ScotApp_390,Atšauktos prekės
ScotApp_290,290unused
ScotApp_190,"Įkeliama programa ""Transaction Broker""..."
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,"Įkeliama programa ""Smart Scale""..."
ScotApp_1772,KUPONAS
ScotApp_1661,"Atspausdinti kvito neįmanoma. Kad pamėgintumėte dar kartą, palieskite ""Kiti kvitai""."
ScotApp_1132,Ryšio klaida.
ScotApp_1386,Kritinė klaida
ScotApp_784,"Banknotų išdavimo įtaisas neveikia.\n* Pripildykite banknotų išdavimo įtaisą arba\n* išvalykite kamštį banknotų įtaise, arba\n* sureguliuokite valymo dėžę."
ScotApp_684,Šiandien
ScotApp_584,EBT nepriimta.
ScotApp_484,Reikia parašo
ScotApp_384,384unused
ScotApp_284,Skeneris: duomenys prarasti
ScotApp_1595,Pageidaujama kalba
ScotApp_1451,Kasininko ID
ScotApp_984,Iškrovimo juosta įkelta.
ScotApp_884,Panaikinti laikiną sustabdymą
ScotApp_1847,"Prekė pridėta. Nuskenuokite kitą prekę arba palieskite ""Įveskite kodą""."
ScotApp_1660,Pasirinkti spausdinimo pasirinktį
ScotApp_1131,Banknotų kasetė išimta arba netinkamai įstatyta.
ScotApp_1385,Pasirinkti kalbą
ScotApp_1436,"Viršyta parametro ""Praleisti pakavimą"" slenkstinė vertė"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Tinkamai išjunkite galinį įrenginį ir įkraukite jį iš naujo.
ScotApp_466,   Nuskenuota nežinoma prekė
ScotApp_366,Užstrigo spausdintuvo peilis
ScotApp_266,"Išjungiama programa ""Sec.Agent""..."
ScotApp_966,966unused
ScotApp_1541,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1846,"Nuskenuokite prekę arba palieskite ""Įveskite kodą""."
ScotApp_1667,Banknotų kamštis
ScotApp_1689,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_745,745unused
ScotApp_645,Vėl padėkite nuskenuotą prekę į pakavimo zoną.
ScotApp_1581,Monetų išdavimo įtaisas
ScotApp_445,Pašalpa pinigais
ScotApp_345,345unused
ScotApp_245,Kortelių skaitytuvo įtaisas neveikia
ScotApp_145,145unused
ScotApp_945,Riba\Maišai/dėžės
ScotApp_713,713unused
ScotApp_613,Padėkite prekę ant apsauginių svarstyklių
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Panaikinti prekes
ScotApp_1573,"Palieskite mygtukus ""Įkrauti"", jei norite papildyti arba mygtukus ""Išėmimas iš priėmimo įtaiso"" ir ""Išėmimas iš išdavimo įtaiso"" – jei norite iškrauti."
ScotApp_913,Nenumatyta prekė pakavimo vietoje.
ScotApp_813,"Įveskite PO# / užduoties pavadinimą ir palieskite ""Įvesti"""
ScotApp_1666,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_1137,%s banknotų kasetė neįdėta.
ScotApp_1580,Banknotų išdavimo įtaisas
ScotApp_758,758unused
ScotApp_658,grynųjų liko mažai
ScotApp_558,"Prekė, dėl kurios taikomi kiekio apribojimai"
ScotApp_1653,Suma viršija talpą. Didžiausias reikiamas kiekis yra %s. Kiekis %s įvedamas automatiškai.
ScotApp_358,Grįžti į pagalbos režimą
ScotApp_258,"Išjungiama programa ""Transaction Broker""..."
ScotApp_158,Prekę turi patvirtinti parduotuvės darbuotojas. Tęskite.
ScotApp_1844,Ieškoti
ScotApp_958,Apsauginės svarstyklės
ScotApp_858,Taip
ScotApp_1136,Banknotų atmetimo dėžės nėra arba ji nėra gerai pritvirtinta savo vietoje.
ScotApp_1587,"Ar tikrai norite nepaisyti pokyčių ekrane ""Banknotų tvarkymas""?"
ScotApp_1531,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1599,Objekto %s parinkčių rasti nepavyko.
ScotApp_1652,(MMmmdd)
ScotApp_1123,"* NELIESKITE mygtuko ""Tęsti"" kol nepašalinti visi įstrigę banknotai.\n* Atsargiai ištraukite banknotų išdavimo įtaisą iš korpuso.\n* Nekliudydami juostų išimkite įstrigusius banknotus iš banknotų išdavimo įtaiso viršaus."
ScotApp_1342,Pasirinkti pagalbines funkc.
ScotApp_1332,Tarpas
ScotApp_1586,%s    %s  %s
ScotApp_1444,Išimti
ScotApp_1598,Parinktys suaktyvintos.
ScotApp_1651,(MMMMmmdd)
ScotApp_1122,Banknotas gali būti įstrigęs išdavimo įtaiso išeinamojoje dalyje.\n\nŠiek tiek ištraukite išdavimo įtaisą iš korpuso.\n\nIšimkite parodytoje srityje įstrigusius banknotus (jei yra).\n\nAtsargiai įstumkite banknotų išdavimo įtaisą atgal į korpusą.
ScotApp_1331,Shift
ScotApp_1585,Dėžės              Vertė  Vertės pokytis
ScotApp_1118,Problema išduodant %s banknotus.\n\n%s banknotų nepavyko paimti iš banknotų kasetės.\n\nIšimkite %s banknotų kasetę ir patikrinkite banknotų būklę.
ScotApp_1884,„Smart Assist“ įspėjimas
ScotApp_1191,REIKALINGAS MATMUO
ScotApp_1121,Banknotas gali būti įstrigęs parodytoje srityje.\n\nŠiek tiek ištraukite išdavimo įtaisą iš korpuso.\n\nIšimkite įstrigusius banknotus.\n\nAtsargiai įstumkite banknotų išdavimo įtaisą atgal į korpusą.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Prekė nesupakuota
ScotApp_1355,Jūsų balansas
ScotApp_1584,Dėžės              Kiekis  Kiekio pokytis
ScotApp_465,%s               %s
ScotApp_365,Užstrigo spausdintuvo galvutė
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Parašas:
ScotApp_433,433unused
ScotApp_333,Kortelių skaitytuvo klaida – užstrigo užraktas
ScotApp_233,"Patikrinkite, ar banknotų priėmimo įtaisas sumontuotas teisingai.\n\nNorėdami atleisti patraukite rankenėlę pirmyn ir pastumkite banknotų priėmimo įtaisą į priekį.\n\nPastumkite banknotų priėmimo įtaisą atgal, kol jis sustos."
ScotApp_133,133unused
ScotApp_1120,"Gali būti, jog prieš %s banknotų kasetę susidarė banknotų kamštis.\n\nIšimkite %s kasetę ir apžiūrėkite, ar šioje zonoje nėra banknotų kamščio.\n\nJei įmanoma, pašalinkite įstrigusius banknotus ir įdėkite banknotų kasetę atgal."
ScotApp_1805,Išeiti iš tik grynųjų režimo
ScotApp_933,Svorio neatitikimas
ScotApp_833,833unused
ScotApp_1337,Išeiti iš SelfServ Checkout
ScotApp_1780,PRADĖTI OPERACIJĄ
ScotApp_712,712unused
ScotApp_612,Pridėti svorį
ScotApp_512,Vizualiniai patvirtinimai
ScotApp_312,dėžė užstrigo
ScotApp_212,212unused
ScotApp_112,Patvirtinti kiekį
ScotApp_1081,Rodyti\nvisus takelius
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Baigti mokėjimą kortele. Išmokėti grąžos:
ScotApp_478,Kuponų atidavimas.
ScotApp_378,Kvitų spausdintuvas
ScotApp_278,Apsaugos žurnalas
ScotApp_1127,Prijungti iš naujo
ScotApp_1802,Priimti tik korteles
ScotApp_978,Slenkstis = %d
ScotApp_878,Įveskite kainą.
ScotApp_1533,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1787,"Įveskite plastikinių maišų, kuriuos panaudojote, skaičių arba 0, jei maišų nenaudojote."
ScotApp_1799,Tik kortelių režimas
ScotApp_1309,"* Įstatykite kasetę, kol ji užsifiksuos.\n* Patikrinkite, ar trumpam įsijungia banknotų priėmimo įtaiso variklis."
ScotApp_1323,Svoris išlieka
ScotApp_1079,Vėl padėkite nuskenuotą prekę ant juostos.
ScotApp_1382,(stand.)
ScotApp_1532,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1786,Mokestis už plastikinį maišą
ScotApp_1094,Spausdinti parašus
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Tik grynųjų režimas
ScotApp_1322,Kupono jutiklio klaida\nRyšio gedimas.
ScotApp_1078,Pasirinkite laukiamo svorio nustatymą. (Klientas turėtų padėti prekę ant juostos).
ScotApp_1334,  Prekė ne ant juostos.
ScotApp_1785,Neteisingi prisijungimo duomenys. Naudodami klaviatūrą arba pirštų atspaudų skaitytuvą pamėginkite prisijungti dar kartą.
