AmountSaved,Gespart
ScotApp_1197,ABGEBROCHENE TRANSAKTION
ScotApp_1548,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_992,Geburtstag eingeben
ScotApp_892,Smart Scale wird beendet...
ScotApp_1053,"Warten Sie, bis der/die Kassierer(in) Ihnen die Quittung zur Unterschrift vorlegt."
ScotApp_1404,Der POS-Server ist offline oder läuft nicht synchron. Bitte fahren Sie die Kasse herunter.
ScotApp_1245,DEBITKARTE GIROKONTO
ScotApp_1262,USERDEFINED4
ScotApp_1471,Gerätefehler im Münzenrecycler
ScotApp_1196,FÜHRERSCHEINNUMMER
ScotApp_1052,1052unused
ScotApp_1600,Kartenausgabemodul-Status:
ScotApp_1663,Leerer Behälter oder Stau im Behälter
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Alle Münzenkanäle im Münzenmagazin bis oben auffüllen.\n\nIn Geschäftsmodus wechseln, ""Status Bargeld / Papier"" wählen und ""Münzen nachgefüllt"" berühren."
ScotApp_1183,PREISANFORDERUNG
ScotApp_1470,Gerätefehler im Geldscheinrecycler
ScotApp_1195,ABGEBROCHEN CSA
ScotApp_1229,ASSISTENZ ANGEFORDERT
ScotApp_1051,Quittungsgenehmigung
ScotApp_1607,     Behälter für abgelehnte Geldscheine ist normal (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Kundenkonto wurde aktiviert.
ScotApp_347,Jugendschutz-Artikel wurde storniert - Alterslimit. Legen Sie Artikel auf die Seite.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Unterbrechen
ScotApp_769,Bestätige oder lösche Zurückstellung
ScotApp_947,Neues Artikelgewicht
ScotApp_847,Scannen beendet
ScotApp_1477,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_726,726unused
ScotApp_626,Artikel Toleranz:
ScotApp_526,\nFalsche PIN-Eingabe.\nAndere Karte lesen\n   -oder-\nZahlen Sie Bar.
ScotApp_426,Kasssenstelle ##:
ScotApp_326,Zu niedriges Alter für Jugendschutz-Artikel.
ScotApp_226,Kartenleser nicht betriebsbereit
ScotApp_126,(MMTTJJ).
ScotApp_1606,     Behälter für abgelehnte Geldscheine ist normal
ScotApp_926,Die Artikel wurden nicht in die Einpack-Station zurückgelegt.
ScotApp_826,Ich möchte diesen\nArtikel nicht einpacken
ScotApp_1267,USERDEFINED9
ScotApp_1618,"Eine Geldscheinkassette wurde herausgenommen oder nicht richtig eingelegt.\n\nInstallieren Sie die Geldscheinkassette oder schieben Sie sie hinein, bis sie einrastet."
ScotApp_1181,COUPON-SCHWELLE ÜBERSCHRITTEN
ScotApp_205,Kopiervorgang fertig.
ScotApp_105,unbekannter Artikel
ScotApp_1476,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1730,Suche
ScotApp_1390,Gerät reagiert nicht
ScotApp_805,genehmige Artikel
ScotApp_1864,Gehen Sie zur Kasse
ScotApp_1408,Hilfe
ScotApp_1266,USERDEFINED8
ScotApp_1180,KEINE PREISÜBEREINSTIMMUNG
ScotApp_1208,VERKAUFT IM ASSISTENZMODUS
ScotApp_1475,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1397,Aufsicht
ScotApp_1748,Fehler beim Anmelden mit Fingerabdruck
ScotApp_718,718unused
ScotApp_618,Gewichts-Toleranz
ScotApp_518,Zahlen Sie mit Bargeld.
ScotApp_1253,PIP KUNDENKARTE
ScotApp_1604,     Kartenausgabebehälter ist normal (%s)
ScotApp_218,Drucker fast leer
ScotApp_118,Überprüfung erforderlich
ScotApp_552,Bediener und Passwort ohne führende Null.
ScotApp_791,Zahlungsart wählen
ScotApp_691,691unused
ScotApp_591,NCR SelfServ Checkout Encryptor loading...
ScotApp_391,Preiseingabe-Artikel
ScotApp_918,Kein Eintrag für Artikelgewicht.
ScotApp_1187,GERÄTEFEHLER
ScotApp_991,Alter prüfen
ScotApp_891,Smart Scale geladen
ScotApp_1474,Hardwarefehler. Fehlercode E%d
ScotApp_1396,Modus für Aufsicht deaktivieren
ScotApp_1252,PIP DEBITKARTE RÜCKGELD
ScotApp_1732,PL-Bilder wurden geladen.
ScotApp_1461,Münzen
ScotApp_1166,"Druckergehäuseklappe öffnen.\n* Drucker entriegeln und nach hinten schieben.\n* Druckerabdeckung öffnen und prüfen, ob Stau vorliegt.\n* Druckerabdeckung schließen und Papier wieder einlegen.\n* Drucker vorsichtig nach vorne ziehen, bis er einrastet."
ScotApp_1186,UNERWARTETE VERKLEINERUNG
ScotApp_1857,  Nicht auf das Fließband legen
ScotApp_1829,Bestätigen
ScotApp_1670,Fehler: Münzen-/Geldscheinrecycler
ScotApp_1198,EINGEGEBENE KONTONUMMER
ScotApp_1869,Hand In Feld
ScotApp_1251,PIP DEBITKARTE
ScotApp_1855,Optional
ScotApp_767,Alle Behälter OK
ScotApp_667,Karte gelesen. Scannen Sie Ihre Artikel.
ScotApp_567,Eingabe
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Sicherheit
ScotApp_1460,Geldscheine
ScotApp_1185,EINPCK. TÜTE/KARTON SCHWELLE ÜBERSCHR
ScotApp_1009,Geschäftsmodus
ScotApp_867,Nein
ScotApp_1856,  Nicht einpacken
ScotApp_1677,"Sicherstellen, dass die Münzenrecyclerklappe geschlossen ist."
ScotApp_746,746unused
ScotApp_646,J
ScotApp_1394,Fehler an digitaler Schnittstelle.
ScotApp_446,Vorgang rückgängig machen
ScotApp_346,Geld-Automat
ScotApp_246,246unused
ScotApp_146,Wählen Sie Ihre Zahlungsart.
ScotApp_1501,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1609,     Behälter für abgelehnte Geldscheine ist fast voll
ScotApp_1194,BERECHTIGUNGSNUMMER
ScotApp_946,Tüten-/Kartongenehmigung
ScotApp_846,"Bitte scannen Sie die Artikel oder berühren Sie ""Scannen beendet""."
ScotApp_1843,Eig Tüte
ScotApp_1467,"Anzeige ""Status Bargeld / Papier"" benutzen, um Kassetten zu entleeren."
ScotApp_725,725unused
ScotApp_625,Geben Sie eine Gewichts-Toleranz ein zwischen <%s> und <%s>.
ScotApp_1381,Verarbeitung läuft...
ScotApp_425,425unused
ScotApp_325,Datum ungültig
ScotApp_225,Behälter des Kartenlesers eingesteckt
ScotApp_1676,Münzenrecyclerklappe offen
ScotApp_925,925unused
ScotApp_825,Artikel einpacken
ScotApp_1608,     Behälter für abgelehnte Geldscheine ist leer
ScotApp_1842,Erweiterte Hilfe
ScotApp_1808,Wählen Sie einen Artikel auf dem Kassenzette.
ScotApp_1466,Geldrecycler ist voll
ScotApp_1380,Preis
ScotApp_1854,Optional
ScotApp_1675,Fehler: Münzenrecycler
ScotApp_1597,Kundenkarte
ScotApp_1350,%s\n%s %s hinzugefügt
ScotApp_738,738unused
ScotApp_638,Effektive GDB Toleranz-Info
ScotApp_538,538unused
ScotApp_338,Artikelbezchng. (erste 3 Buchstaben) eingeben.
ScotApp_238,Bargeldannahmemodul konnte eingelegtes\nBargeld nicht registrieren.\nBitte Geldscheinkassette überprüfen.
ScotApp_138,Nehmen Sie Ihre Karte
ScotApp_1170,"* Öffnen Sie die Druckerabdeckung und prüfen Sie im  angezeigten Bereich, ob ein Papierstau vorliegt. \n* Papier entfernen. \n* Schließen Sie die Druckerabdeckung und setzen Sie das Papier neu ein.\n* Wenn der Fehler immer noch auftritt, wie folgt neu starten."
ScotApp_1841,Für Genehmigung zur Kasse gehen
ScotApp_1740,Tasche prüfen
ScotApp_938,938unused
ScotApp_838,Customer Agreement
ScotApp_1133,Geldscheinstau im Annahmemodul
ScotApp_1387,"Schwerwiegender Softwarefehler aufgetreten.\nKasse neu starten.\n\nHierzu wie folgt vorgehen:\n* Supervisor-Knopf auf ""S"" drehen -ODER- ""Supervisor"" drücken.\n* ""System neu starten"" wählen.\n* Support anrufen und den Fehler melden."
ScotApp_1674,"Münzenausschussknopf drücken, um stecken gebliebene Münzen zu lösen. Wenn der Fehler nochmals auftritt, klemmen Münzen. Erneut öffnen und sicher einklinken. Münzen herausnehmen. Knopf drücken und zurückstellen. Abdeckung aufklinken und schließen. "
ScotApp_1650,(TTMMJJ)
ScotApp_690,690unused
ScotApp_590,Device Factory ending...
ScotApp_490,"Scannen Sie Ihren Artikel, oder drücken Sie ""Anfang"" um anzufangen."
ScotApp_390,Aufgerufener Artikel
ScotApp_290,290unused
ScotApp_190,Transaction Broker wird geladen...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Smart Scale wird geladen...
ScotApp_1772,Coupon
ScotApp_1661,"Kassenbon kann nicht gedruckt werden. Bitte ""Andere Kassenbons"" berühren."
ScotApp_1132,Kommunikationsfehler
ScotApp_1386,Schwerwiegender Fehler
ScotApp_784,Notenausgeber nicht betriebsbereit\nNotenausgeber auffüllen oder\nNotenausgabe-Stau beheben oder\nAusgabebehälter justieren.
ScotApp_684,Heute
ScotApp_584,Geldkarte abgelehnt.
ScotApp_484,Unterschrift erforderlich
ScotApp_384,384unused
ScotApp_284,Scanner: Datenverlust
ScotApp_1595,Bevorzugte Sprache
ScotApp_1451,Kassierer-ID 
ScotApp_984,Takeaway-Band wurde geladen
ScotApp_884,Unterbrechung abbrechen
ScotApp_1847,"Artikel zugefügt. Nächsten Artikel scannen oder ""Code eingeben"" berühren."
ScotApp_1660,Druckoption wählen
ScotApp_1131,Geldscheinkassette fehlt oder ist falsch eingelegt.
ScotApp_1385,Sprache wählen
ScotApp_1436,"""Einpacken überspringen"" Schwellenwert überschritten"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Kasse herunterfahren und neu starten.
ScotApp_466,  Unbekannter Artikel gescannt
ScotApp_366,Papierstau am Drucker-Messer
ScotApp_266,Sec.Agent ending...
ScotApp_966,966unused
ScotApp_1541,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1846,"Artikel scannen und ""Code eingeben"" berühren."
ScotApp_1667,Geldscheinstau
ScotApp_1689,Fehler: Geldscheinrecycler
ScotApp_745,745unused
ScotApp_645,Bitte gescannten Artikel erneut in die Einpack-Station legen.
ScotApp_1581,Münzenausgabemodul
ScotApp_445,Preis-Vorteil
ScotApp_345,345unused
ScotApp_245,Kartenleser - nicht betriebsbereit
ScotApp_145,145unused
ScotApp_945,Limit\Tüte/Karton
ScotApp_713,713unused
ScotApp_613,Artikel in Verpackungsstation legen.
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Artikel stornieren
ScotApp_1573,"""Bestücken"" berühren, um Kassetten zu bestücken. Um Kassetten zu leeren, ""Annahmemodul leeren"" und ""Ausgabemodul leeren"" berühren."
ScotApp_913,Unerwarteter Artikel auf Sicherheitswaage.
ScotApp_813,"Type PO#/Job Name and touch ""Enter""."
ScotApp_1666,Fehler: Geldscheinrecycler
ScotApp_1137,%s Geldscheinkassette nicht installiert.
ScotApp_1580,Geldscheinausgabemodul
ScotApp_758,758unused
ScotApp_658,Geldbestand niedrig
ScotApp_558,Mengen-limitierte Artikel
ScotApp_1653,Betrag übersteigt Kapazität. Erforderlicher Höchstbetrag ist %s. Betrag %s automatisch eingegeben.
ScotApp_358,zurück zum Assistenz-Modus
ScotApp_258,Transaction Broker wird beendet...
ScotApp_158,Dieser Artikel erfordert Überprüfung. Bitte weitermachen.
ScotApp_1844,Suche
ScotApp_958,Einpackwaage
ScotApp_858,Ja
ScotApp_1136,Behälter für abgelehnte Geldscheine fehlt oder ist nicht richtig eingerastet. 
ScotApp_1587,Möchten Sie die Änderungen auf der Geldscheinmanagement-Anzeige wirklich ignorieren?
ScotApp_1531,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1599,Die Suche in den Voreinstellungen (%s) war erfolglos.
ScotApp_1652,(JJMMTT)
ScotApp_1123,"* NICHT fortfahren, bevor alle zerknüllten Geldscheine entfernt sind.\n* Scheinausgabe vorsichtig aus dem Gehäuse ziehen.\n* Zerknüllte Scheine oben in der Scheinausgabe ohne Beeinträchtigung der Bänder entnehmen.\n* Scheinausgabe wieder in das Gehäuse drücken.\n* Klappe schließen und auf ""Problem gelöst"" drücken."
ScotApp_1342,Dienstprogramm wählen
ScotApp_1332,Leertaste
ScotApp_1586,%s    %s  %s
ScotApp_1444,Leeren
ScotApp_1598,Voreinstellungen aktiviert.
ScotApp_1651,(JJJJMMTT)
ScotApp_1122,Möglicher Geldscheinstau im Ausgabeschacht des Moduls.\n\nGeldscheinausgabemodul teilweise herausziehen.\n\nGestaute Geldscheine aus angezeigtem Bereich entfernen.\nGeldscheinausgabemodul vorsichtig wieder einlegen.
ScotApp_1331,Shift
ScotApp_1585,Behälter           Wert     Änderung des\n                          Bargeldbetrags
ScotApp_1118,Problem bei Geldscheinausgabe %s.\n\n%s Geldscheine konnten nicht aus Geldscheinkassette genommen werden.\n\nGeldscheinkassette %s herausnehmen und Qualität der Geldscheine prüfen.
ScotApp_1884,Smart-Assist Warnung  
ScotApp_1191,MASSEINHEIT ERFORDERLICH
ScotApp_1121,Möglicher Geldscheinstau im angezeigten Bereich.\n\nGeldscheinausgabemodul teilweise herausziehen.\n\nGestaute Geldscheine entfernen.\n\nGeldscheinausgabemodul vorsichtig wieder hineinschieben.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Artikel nicht eingepackt
ScotApp_1355,Ihr Restbetrag
ScotApp_1584,Behälter      Stückzahl     Änderung der\n                               Stückzahl
ScotApp_465,%s               %s
ScotApp_365,Papierstau am Drucker-Kopf
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Unterschrift:
ScotApp_433,433unused
ScotApp_333,Kartenleser Fehler Schließung klemmt
ScotApp_233,"Sicherstellen, dass das Geldscheinannahmemodul richtig installiert ist.\n\nZum Entriegeln Griff nach vorne ziehen und Geldscheinannahmemodul nach vorne schieben.\n\nGeldscheinannahmemodul bis zum Anschlag zurückschieben."
ScotApp_133,133unused
ScotApp_1120,"Möglicher Geldscheinstau vorne in Kassette %s.\n\nKassette %s herausnehmen und vorne auf Geldscheinstau überprüfen.\n\Gestaute Geldscheine entfernen, fallsmöglich, und Kassette wieder einlegen."
ScotApp_1805,Nur-Bargeld-Modus beenden
ScotApp_933,Gewichte stimmen nicht überein.
ScotApp_833,833unused
ScotApp_1337,SelfServ Checkout beenden
ScotApp_1780,TRANSAKTION BEGINNEN
ScotApp_712,712unused
ScotApp_612,Hinzufügen Gewicht
ScotApp_512,Sichtkontrolle
ScotApp_312,Behälter gestaut
ScotApp_212,212unused
ScotApp_112,Menge bestätigen
ScotApp_1081,Alle Kassen\nanzeigen
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Ende Zahlung per Karte.  Fälliges Wechselgeld.
ScotApp_478,Gutscheine ablegen.
ScotApp_378,Bondrucker
ScotApp_278,Security Log
ScotApp_1127,Neu verbinden
ScotApp_1802,Nur EC-Karten annehmen
ScotApp_978,Schwellenwert = %d
ScotApp_878,Bitte geben Sie den Preis ein.
ScotApp_1533,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1787,"Geben Sie die Anzahl der Plastiktüten ein, oder, wenn Sie keine benutzt haben, geben Sie 0 ein."
ScotApp_1799,Nur-EC-Karten-Modus
ScotApp_1309,"* Kassette hineinschieben, bis sie einrastet.\n* Prüfen, ob Geldscheinannahmemodul läuft."
ScotApp_1323,Gewicht wird
ScotApp_1079,Bitte gescannten Artikel erneut auf das Band legen.
ScotApp_1382,(Std)
ScotApp_1532,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1786,Preis für Plastiktüten
ScotApp_1094,Unterschriften drucken
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Nur-Bargeld-Modus
ScotApp_1322,Couponsensor-Fehler.\nKommunikationsfehler.  
ScotApp_1078,Bitte Einstellung für das erwartete Gewicht wählen. (Kunde muss den Artikel auf das Band legen.)
ScotApp_1334,  Artikel nicht auf band
ScotApp_1785,Ungültige Anmeldung. Bitte melden Sie sich erneut an und verwenden Sie die Tastatur oder Ihren Fingerabdruck.
ScotApp_1046,Bitte gehen Sie mit Ihrem %s zur Bezahl-Station.
ScotApp_1696,Problem behoben
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PIN-Tastatur / EFT-Gerätefehler
ScotApp_1065,1065unused
ScotApp_1321,Ende Zahlung per Coupon(s).  Fälliger Restbetrag.
ScotApp_764,764unused
ScotApp_1530,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1784,MULTIPACK-ARTIKEL
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Menge %s @ %s/%s\t%s
ScotApp_753,Gestern stündlich
ScotApp_653,"Eingabe des Coupon-Werts und ""Eingabe"" drücken."
ScotApp_453,Münzannahme Status voll
ScotApp_353,Zurück
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Start Zahlung per Coupon(s)
ScotApp_953,"Fahren Sie das Terminal herunter und starten Sie es neu:\n* Drehen Sie das Supervisor-Schloss auf 'S' -ODER- drücken Sie die Supervisor-Taste.\n* Wählen Sie ""Führen Sie Beim Nächsten Neustart ADD Aus"".  Wählen Sie ""Ja"" zu bestätigen.\n* Wählen Sie ""Shut Down Entire System.""\n* Wenn der Bildschirm leer ist, schalten Sie das Terminal an der USV oder an der Steckerleiste aus.\n* Schalten Sie das Terminal wieder ein. Prüfen Sie den Ereignis-Viewer. Wenn der Fehler erneut auftritt, Service rufen."
ScotApp_853,Vier Artikel
ScotApp_1845,Bon
ScotApp_1537,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Jugendschutz-Artikel
ScotApp_432,Geldkarte
ScotApp_332,Assistenz-Modus verlassen
ScotApp_232,"* Geldscheinannahmemodul und Kassette herausnehmen.\n* Kassette auf Geldscheinstau überprüfen.\n* Obere Zugangsklappen des Annahmemoduls öffnen und prüfen, ob Geldscheinstau vorliegt.\n* Zugangsklappen schließen.\n* Geldscheinannahmemodul und Kassette wieder einlegen."
ScotApp_132,132unused
ScotApp_1110,  Menge %s @ %s/für alle\t%s
ScotApp_1242,DEBITKARTE
ScotApp_1285,Gängige
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Berühren Sie den gewünschten Bericht und dann ""Bericht ausführen""."
ScotApp_711,711unused
ScotApp_611,Gewünschte Funktion wählen
ScotApp_511,Vergleichen Sie die Kunden-Unterschrift mit der auf der Karte.
ScotApp_411,Kundenkarte nehmen
ScotApp_311,Behälter ist leer
ScotApp_111,Waage zurücksetzen
ScotApp_1789,COUPON
ScotApp_1536,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_911,Beheben
ScotApp_811,Ziehen Sie Ihren Geschenkgutschein durch den Lesestreifen. Bitte prüfen Sie Ihren Einkaufskorb auf zusätzliche Artikel.
ScotApp_1628,Fehler: CPU
ScotApp_1523,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1349,%s\n %s\n%s %s erwartet\n%s %s gefunden
ScotApp_1892,Sicherheits-Analyse
ScotApp_1279,SCHECK
ScotApp_1535,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1057,1057unused
ScotApp_1441,Münzenmanagement
ScotApp_1313,* Bitte Drucker auf Papierstau überprüfen.\n* Papierrolle wieder einlegen.\n* Dann Kasse herunterfahren und neu starten.
ScotApp_1681,Fehler: Geldscheinrecycler
ScotApp_1069,1069unused
ScotApp_1325,Legen Sie den Artikel auf die Waage.
ScotApp_1278,USERDEFINED20
ScotApp_1103,Vorherige
ScotApp_1534,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1056,1056unused
ScotApp_1312,"* Geldscheinkassette herausnehmen,\n* öffnen und Geldscheine entfernen.\n* Dann Kassette wieder schließen und neu hineinschieben.\n* Bitte prüfen, ob Geldscheinannahmemodul läuft und die LED grün leuchtet."
ScotApp_1265,USERDEFINED7
ScotApp_1850,Fehlerzustand
ScotApp_1213,UNBEKANNT
ScotApp_1521,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_139,Nehmen Sie Ihren Bon
ScotApp_1043,"Benutzen Sie den Hilfemodus, um %s vom Kunden zu akzeptieren."
ScotApp_1401,Eine Hilfeaktion wird durchgeführt.\n\nBitte warten Sie...
UnknownItemMessage,Hilfe kommt.\n\nArtikel beiseite legen und fortfahren.
TimeRestrictedItemMessage,Sie können nicht diesen Artikel kaufen zu dieser Zeit. \n\nArtikel zur Seite setzen und fortfahren.
ItemQuantityExceededMessage,Zu hohe Menge für diesen Artikel. \n\nDiesen zur Seite legen und weitermachen.
WeightMismatch,Artikelgewicht wird überprüft.\n\nBitte warten…
ItemQuantityExceeded,Anzahlgrenze Überschritten
WaitForRemoteAssistanceTitle,Dezentraler Bediener
ScotApp_489,Vielen Dank für die Benutzung von NCR SelfServ Checkout.
ScotApp_273,Z. Zt. Bitte nicht scannen.\nLegen Sie Artikel zur Seite.
ScotApp_431,Ungültige Kundenkarte. Bitte prüfen.
ScotApp_410,Hilfe erforderlich für:
ScotApp_1739,"Bitte warten Sie auf einen Mitarbeiter.\nDas System konnte Ihre Taschen nicht prüfen.\nFalls Sie aus Versehen etwas anderes als eine Tasche in den Taschenbereich gestellt haben, entfernen Sie es jetzt bitte."
ScotApp_73,zurück zur Artikelaufrechnung
ScotApp_772,"Es wurde gewünscht, den laufenden Vorgang zurückzustellen.\nBitte bestätigen oder die Anforderung löschen."
ScotApp_530,Kartenlesefehler.\nBitte benutzen Sie eine andere Karte.\n   -oder-\nZahlen Sie bar.\n   -oder-\nWenden Sie sich an das Ladenpersonal.
ScotApp_524,Falsche PIN-Eingabe.\nPIN erneut am Zahlungsterminal eingeben.
ScotApp_397,Erfassen Sie die gültigen Artikel im Assistenz-Modus.\nHolen Sie alle restlichen Artikel vom Kunden ab.
ScotApp_171,"""%s""\n\nIst %d in Ordnung?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Vorgang abgebrochen. Legen Sie alle Artikel zur Seite.
ScotApp_495,Zu hohe Menge für diesen Artikel.\n\nDiesen zur Seite legen und weitermachen.
ScotApp_529,"Karte entnehmen, dann....\nAndere Karte einführen.\n   -oder-\nZahlen Sie Bar.\n   -oder-\nRufen Sie Hilfe."
ScotApp_275,Z. Zt. Bitte keine Karteneingabe.\nNehmen Sie Ihre Karte.
ScotApp_1891,Systemüberprüfung wird ausgeführt. \nBitte warten Sie...
ScotApp_1750,"Bitte warten Sie, während Ihr Fingerabdruck verarbeitet wird."
ScotApp_169,Möchten Sie weitermachen?
ScotApp_415,Nehmen Sie Ihre Kundenkarte.\nKarte war bereits eingeführt.
ScotApp_1793,Diese Kasse akzeptiert derzeit nur EC-Karten.\nMöchten Sie fortfahren?
ScotApp_477,Legen Sie Ihre Gutscheine ab.\nNachdem Ihr Bon gedruckt ist:\n--Nehmen Sie Ihre Artikel.\n--Nehmen Sie Bon und die Gutscheine mit zur Zahlstation.
ScotApp_177,Gesamt-Vorgang storniert. Legen Alle Artikel zur Seite.
ScotApp_656,Bitte legen Sie den <%s> zur Seite.\nLadenpersonal wird Ihnen helfen.
ScotApp_1709,Legen Sie jetzt weder Scheine noch Münzen ein.\nBitte entnehmen Sie das Rückgeld.\nScheine werden unterhalb des Scanners ausgegeben.
ScotApp_435,"Wählen Sie die Vorteilsart.\nFalls Sie Lebensmittelmarken verwenden wollen, müssen diese vor anderen Vorteilen genutzt werden."
ScotApp_808,Sicherheitsanhänger von Aufsicht entfernen lassen.
ScotApp_294,"für Aufsicht, ""Bitte um Hilfe"" drücken."
ScotApp_1287,Bitte warten ...\nPrüfe artikel-gewicht.
ScotApp_525,"Falsche PIN-Eingabe.\nKarte entnehmen, dann....\nandere Karte einführen\n   -oder-\nZahlen Sie bar."
ScotApp_480,Berühren Sie OK und nehmen Sie den Transaktionsbeleg und die Artikel mit zur Kasse. 
ScotApp_1751,Maximal erlaubtes Gewicht überschritten.\nArtikel entnehmen.
ScotApp_175,"wollen Sie\n""%s"" \nvom Bon entfernen?"
ScotApp_1746,Fingerabdruck-Server nicht verfügbar.\nBitte versuchen Sie es noch einmal.
ScotApp_1839,Bitte warten Sie auf den (die) Kassierer(in).\nZ. Zt. Bitte nicht scannen. Legen Sie Artikel zur Seite.
ScotApp_501,"Bitte unterschreiben Sie den Bon, und warten Sie auf einen Mitarbeiter."
ScotApp_414,Nehmen Sie Ihre Kundenkarte.\nRabatte können für diesen Einkauf nicht ausgewiesen werden. Sie erhalten diese per Post.
ScotApp_563,Fehler bei Initialisierung der Summen-Speicher.\nAnwendung wird beendet.
ScotApp_263,Artikel kann erst nach Storno des Coupons storniert werden.\nstorniere Coupon zuerst.
ScotApp_800,"Bitte Einkaufskorb überprüfen\n\nzusätzliche Artikel jetzt scannen oder\nOK drücken, um zu bezahlen."
ScotApp_134,Überprüfung in Arbeit.\nBitte warten.
ScotApp_620,Eingabe Toleranz
ScotApp_161,"%s\nGeben Sie Menge ein und drücken Sie ""OK""."
ScotApp_440,Ihr Geld-Vorteils-Saldo ist kleiner als erforderlich.\nWollen Sie den verbleibenden Marken-Vorteil von %s für diesen Kauf verwenden?
ScotApp_184,%s wird Ihrem Konto gutgeschrieben.
ScotApp_274,Z. Zt. Bitte keine Bargeldeingabe.\nNehmen Sie Ihr Bargeld.
ScotApp_1744,Das Gerät hat Ihren Fingerabdruck nicht erkannt.\nBitte versuchen Sie es noch einmal.
ScotApp_160,Artikelzurückgewiesen.\nHilfe kommt.\nArtikel zur Seite legen und weitermachen.
ScotApp_1795,"Oder auf ""Nur EC-Karten"" beschränken."
ScotApp_159,Artikelpreis unbekannt.\nHilfe kommt.\nArtikel zur Seite legen und weitermachen.
ScotApp_458,Wählen Sie die Vorteilsart.\nLebensmittelmarken können für diesen Kauf nicht verwendet werden.
ScotApp_1329,Bitte warten ...\nPrüfe artikel-gewicht.\nDoppeltes Gewicht eingepackt.
ScotApp_407,Kartenfehler.\n*  Versuchen Sie andere Karte\n   -oder-\n*  Rufen Sie Hilfe
ScotApp_706,"Ihr Lebensmittel-Marken-Wert ist kleiner als die Summe dieses Einkaufs.\nDrücken Sie ""OK"" um eine andere Zahlungsart zu wählen."
ScotApp_606,Löschen Gewichts-Eingabe
ScotApp_906,Bitte nehmen Sie Ihre Artikel.
ScotApp_705,"Ihre Geld-Vorteils-Summe ist kleiner als die Summe dieses Einkaufs.\nDrücken sie ""OK"" um eine andere Zahlungsart zu wählen."
ScotApp_605,Gewicht hinzufügen
ScotApp_405,Kartenlesefehler.\n*  Bitte versuchen Sie eine andere Karte\n   -oder-\n*  Zahlen Sie bar\n   -oder-\n*  Wenden Sie sich an das Ladenpersonal
ScotApp_491,Bitte nehmen Sie Ihre Karte.
ScotApp_818,Bitte warten Sie auf den (die) Kassierer(in).\nHilfe erforderlich für:
ScotApp_1796,"Oder auf ""Nur Bargeld"" beschränken."
ScotApp_438,Ihr Ausgleich für Lebensmittelmarken ist nicht ausreichend.\nWollen Sie den verbleibenden Marken-Vorteil von %s für diesen Kauf verwenden?
ScotApp_1596,"Möchten Sie %s als bevorzugte Sprache auf Ihrer %s speichern?\nWählen Sie ""Ja"" oder ""Nein""."
ScotApp_766,%s wird Ihrem Konto belastet
ScotApp_166,Hilfe kommt.\nBitte weitermachen.
