AmountSaved,Kazanılan Tutar
ScotApp_838,Müşteri Anlaşması
ScotApp_1133,Fatura alıcısında sıkışma.
ScotApp_1387,"Düzeltilemez Yazılım Hatası Oluştu.\nTerminali Yeniden Başlatın.\n\nTerminali Yeniden Başlatmak İçin:\n* Yönetici kilidini ""S"" e getirin -VEYA- Yönetici düğmesine basın.\n* Tüm Sistemi Yeniden Yükle’yi seçin.\n* Destek Birimini arayın ve hata hakkında bilgi verin."
ScotApp_1674,"Press reject button to release jammed coins.  If error recurs, a coin jam may be present. Open coin cover and secure.  Remove any jammed coins.  Press reject button to reset.  Release and close coin cover."
ScotApp_1650,(ggaayy)
ScotApp_690,690unused
ScotApp_590,Aygıt Merkezi sonlandırılıyor...
ScotApp_490,"Ürünlerinizi taratın veya başlamak için ""Başlat"" a basın."
ScotApp_390,Piyasadan Çekilmiş Ürünler
ScotApp_290,290unused
ScotApp_190,İşlem Brokeri yükleniyor...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Akıllı Tartı yükleniyor...
ScotApp_1772,Kupon
ScotApp_1661,"Fiş yazdırılamıyor. Yeniden denemek için ""Diğer Fişler""e basın. "
ScotApp_1132,İletişim hatası.
ScotApp_1386,Düzeltilemez Hata
ScotApp_784,Fatura vericisi çalışmıyor\n* Fatura vericisini doldurun veya\n* Vericideki sıkışmayı giderin veya\n*Temizlik kutusunu ayarlayın.
ScotApp_684,Bugün
ScotApp_584,EBT Reddedildi.
ScotApp_484,İmza Gerekiyor
ScotApp_384,384unused
ScotApp_284,Tarayıcı: Kayıp veri
ScotApp_1595,Tercih Edilen Dil
ScotApp_1451,Kasiyer Kullanıcı Kimliği
ScotApp_984,Paket Servisi Bandı yüklendi.
ScotApp_884,Askıya Almayı İptal Et
ScotApp_1847,"Ürün eklendi. Bir sonraki ürünü taratın veya ""Kodu Tuşla"" a basın."
ScotApp_1660,Yazdırma seçeneğini işaretle
ScotApp_1131,Fatura kaseti çıkmış veya uygun biçimde yerleştirilmemiş.
ScotApp_1385,Dil Seçimi
ScotApp_1436,"""Paketlemeyi Atla"" eşiği aşıldı"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Terminali uygun şekilde kapat ve yeniden yükle.
ScotApp_466,   Bilinmeyen Taranmış Ürün
ScotApp_366,Yazıcı bıçağında sıkışma
ScotApp_266,Sec.Agent sonlandırılıyor...
ScotApp_966,966unused
ScotApp_1541,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1846,"Ürünü taratın veya ""Kodu Tuşla"" a basın.."
ScotApp_1667,Kağıt Para Sıkışması
ScotApp_1689,Kağıt Para Dönüştürücü Hatası
ScotApp_745,745unused
ScotApp_645,Taranan ürünü tekrar paketleme alanına yerleştirin.
ScotApp_1581,Madeni Para Vericisi
ScotApp_445,Nakit Ödeme
ScotApp_345,345unused
ScotApp_245,Kart okuma aygıtı çalışmıyor
ScotApp_145,145unused
ScotApp_945,Sınır\Poşet/Kutu
ScotApp_713,713unused
ScotApp_613,Ürünü ambalaj tartısına yerleştirin.
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Ürünleri İptal Et
ScotApp_1573,Yeniden yükleme yapmak için Yükleme düğmelerine veya boşaltma yapmak için Alıcı Toplama ve Verici Toplama düğmelerine basın.
ScotApp_913,Güvenlik tartısında beklenmeyen ürün.
ScotApp_813,"PK Numarasını ve Mesleğinizi yazın ve ""Giriş"" e basın."
ScotApp_1666,Kağıt Para Dönüştürücü Hatası
ScotApp_1137,%s Fatura kaseti yüklenmemiş.
ScotApp_1580,Fatura Vericisi
ScotApp_758,758unused
ScotApp_658,Para seviyesi düşük
ScotApp_558,Miktar Sınırlı Ürün
ScotApp_1653,Tutar kapasiteyi aşıyor. Gereken maksimum tutar %s. %s tutarı otomatik olarak girildi.
ScotApp_358,Yardım Moduna Geri dön
ScotApp_258,İşlem Komisyoncusu sonlandırılıyor...
ScotApp_158,Bu ürün mağaza onayı gerektiriyor. Lütfen devam edin.
ScotApp_1844,Arama
ScotApp_958,Paket Tartısı
ScotApp_858,Evet
ScotApp_1136,Fatura reddetme kutusu çıkmış veya tam olarak oturtulmamış.
ScotApp_1587,Fatura Yönetimi ekranındaki değişiklikleri yok saymak istediğinizden emin misiniz?
ScotApp_1531,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1599,%s tercih arama başarısız.
ScotApp_1652,(yyaagg)
ScotApp_1123,"* Tüm sıkışmış banknotlar çıkartılana kadar işleme devam ETMEYİN.\n* Banknot vericisini kabinden dikkatlice çıkartın.\n* Kayışları hareket ettirmeden banknot vericisinin üst kısmına sıkışan banknotları çıkartın.\n* Nakit vericisini kabine geri itin.\n* Kapıyı kilitleyin ve ""sorunu çözdüm"" butonuna basın. "
ScotApp_1342,Yardımcı Program Seç
ScotApp_1332,Boşluk Tuşu
ScotApp_1586,%s    %s  %s
ScotApp_1444,Kaldır
ScotApp_1598,Tercihleriniz düzenlendi.
ScotApp_1651,(yyyaagg)
ScotApp_1122,Fatura vericisi çıkışında fatura sıkışması olabilir.\n\nFatura vericisini kısmi olarak kabinden çıkarın.\n\nGösterilen bölgedeki sıkışan faturaları çıkarın.\nFatura vericisini dikkatli bir şekilde kabine geri itin.
ScotApp_1331,Üst Karakter Tuşu
ScotApp_1585,Kutular        Değer     Bozukluk Değeri
ScotApp_1118,"%s fatura verme sorunu.\n\n%s faturalar, fatura kasetinden çıkartılamadı.\n\n %s kaseti çıkarın ve faturaların durumunu kontrol edin."
ScotApp_1884,Smart Assist uyarısı
ScotApp_1191,GEREKEN ÖLÇÜ
ScotApp_1121,Gösterilen bölgede fatura sıkışması olabilir.\n\nFatura vericisini kısmi olarak kabinden çıkarın.\n\nSıkışan faturları çıkarın.\n\n Fatura vericisini dikkatli bir şekilde kabine geri itin.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Ürün paketlenmedi
ScotApp_1355,Bakiyeniz
ScotApp_1584,Kutular         Sayı      Bozukluk Sayısı
ScotApp_465,%s               %s
ScotApp_365,Yazıcı kafasında sıkışma
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,İmza:
ScotApp_433,433unused
ScotApp_333,Kart okuyucusu kapakta sıkışma hatası
ScotApp_233,Fatura alıcısının doğru yerleştirildiğinden emin olun.\n\nFatura alıcısını çıkarmak ve öne kaydırmak için kolu kendinize doğru çekin.\n\nFatura alıcısını durana kadar geri itin.
ScotApp_133,133unused
ScotApp_1120,%s fatura kasetinin ön kısmında fatura sıkışması olabilir.\n\n %s kaseti çıkarın ve bu bölgede fatura sıkışması olup olmadığını kontrol edin.\n\nMümkünse sıkışan faturaları çıkarın ve fatura kasetini değiştirin.
ScotApp_1805,Yalnızca Nakit Modundan çık
ScotApp_933,Ağırlık Uyumsuzluğu
ScotApp_833,833unused
ScotApp_1337,"SelfServ Checkout'den Çık"
ScotApp_1780,İŞLEMİ BAŞLAT
ScotApp_712,712unused
ScotApp_612,Ağırlık Ekle
ScotApp_512,Görsel Onaylamalar
ScotApp_312,kutuda sıkışma
ScotApp_212,212unused
ScotApp_112,Miktarı Onayla
ScotApp_1081,Göster\nTüm Kasalar
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Karttan Ödemeyi Sonlandır. Kalan Para Üstü.
ScotApp_478,Kuponları Teslim Edin.
ScotApp_378,Fiş Yazıcısı
ScotApp_278,Güvenlik Kaydı
ScotApp_1127,Yeniden Bağlan
ScotApp_1802,Yalnızca Kart Kabul Et
ScotApp_978,Eşik = %d
ScotApp_878,Fiyat Girin.
ScotApp_1533,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1787,Kullandığınız plastik poşet adedini veya kullanmadıysanız 0 değerini girin.
ScotApp_1799,Yalnızca Kart Modu
ScotApp_1309,* Yerine oturana kadar kaseti yerleştirin.\n* Fatura alıcısı motorunun kısaca açıldığını kontrol edin.
ScotApp_1323,Ağırlık kaldı
ScotApp_1079,Taranan ürünü tekrar banda koyun.
ScotApp_1382,(Sd)
ScotApp_1532,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1786,Plastik Poşet Ücreti
ScotApp_1094,İmzaları Yazdır
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Yalnızca Nakit Modu
ScotApp_1322,Kupon Algılayıcı hatası\nBağlantı başarısız.
ScotApp_1078,Ağırlık beklentisi için ayar seçin. (Müşteri ürünü banda koymalı.)
ScotApp_1334,Ürün bantta değil
ScotApp_1785,Geçersiz Giriş. Lütfen klavyeyi veya parmak izinizi kullanarak tekrar giriş yapın.
ScotApp_1046,"Lütfen %s'inizi ödeme noktasındaki kasiyere götürün."
ScotApp_1696,Durum Düzeltildi
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PinPad/ EFT Aygıt Hatası
ScotApp_1065,1065unused
ScotApp_1321,Makbuz Ödemesini sonlandır. Ödenmesi Gereken Bakiye.
ScotApp_764,764unused
ScotApp_1530,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1784,ÇOKLU PAKETLİ ÜRÜN
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Qty %s @ %s/%s\t%s
ScotApp_753,Dün Saatlik
ScotApp_653,"Kupon değerini sent olarak girin ve ""Giriş"" e basın."
ScotApp_453,Madeni para alıcısı durumu dolu
ScotApp_353,Geri Git
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Makbuz Ödemesini Başlat.
ScotApp_953,"Terminali kapatıp yeniden başlatın:\n* Yönetici kilidini ‘S’ konumuna getirin VEYA Yönetici düğmesine basın.\n* Seçme ""Bir dahaki sistem yüklemesinde ADD’ i çalıştırın"". Seçeneğini ""Evet"" onaylamak için.\n* ‘Tüm Sistemi kapatın.’\n* Ekran boşaldığında terminali kesintisiz güç kaynağından kapatın veya güç kablosunu prizden çekin.\n* Terminali açın. Olay günlüğünü kontrol edin. Hata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın."
ScotApp_853,Dört Ürün
ScotApp_1845,Fiş
ScotApp_1537,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,İzne Tabi Ürün
ScotApp_432,EBT
ScotApp_332,Yardım Modundan çıkıyor
ScotApp_232,* Fatura alıcısını ve kaseti çıkarın.\n* Kasette sıkışma olup olmadığını kontrol edin.\n* Alıcının üst kısmındaki erişim kapılarını açın ve fatura sıkışıp sıkışmadığını kontrol edin.\n* Erişim kapılarını sıkıca kapatın.\n* Alıcı ve kaseti yerine yerleştirin.
ScotApp_132,132unused
ScotApp_1110,  Qty %s @ %s/each\t%s
ScotApp_1242,BORÇ
ScotApp_1285,Popüler
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"İstenen raporun düğmesine, sonra ""Raporu Aç"" a basın."
ScotApp_711,711unused
ScotApp_611,İstenen fonksiyonu seçin.
ScotApp_511,Müşterinin imzasını karttaki imzayla karşılaştır.
ScotApp_411,Müşteri Kartını Al
ScotApp_311,kutu boş
ScotApp_111,Tartıyı Sıfırla
ScotApp_1789,KUPON
ScotApp_1536,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_911,Güvenliği Kaldır
ScotApp_811,Hediye kartınızı okutun. Lütfen ek ürünler için sepetinizi kontrol edin.
ScotApp_1628,CPU Hatası
ScotApp_1523,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1349,%s\n %s\n%s %s beklenen\n%s %s gözlenen
ScotApp_1892,Güvenlik Analizi
ScotApp_1279,ÇEK
ScotApp_1535,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1057,1057unused
ScotApp_1441,Madeni Para Yönetimi
ScotApp_1313,* Yazıcıda kağıt sıkışması olup olmadığını kontrol edin.\n* Yeniden kağıt yerleştirin.\n* Terminali uygun şekilde kapatın ve yeniden yükleyin.
ScotApp_1681,Kağıt Para Dönüştürücü Hatası
ScotApp_1069,1069unused
ScotApp_1325,Ürünü Tartıya Yerleştirin.
ScotApp_1278,USERDEFINED20
ScotApp_1103,Önceki
ScotApp_1534,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1056,1056unused
ScotApp_1312,* Fatura kasetini çıkarın.\n* Açıp faturaları çıkarın.\n* Kapatın ve alıcıya geri yerleştirin.\n* Fatura alıcısı motorunun açıldığını ve LED ışığının yeşil olduğunu kontrol edin.
ScotApp_1265,USERDEFINED7
ScotApp_1850,Hatalı aygıtlar
ScotApp_1213,BİLİNMEYEN
ScotApp_1521,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_139,Fişi Al
ScotApp_1043,Müşteriden %s kabul etmek için Yardım Modunu kullanın.
ScotApp_1401,Yardım başlatılıyor.\n\nLütfen bekleyin...
UnknownItemMessage,Yardım geliyor. \n\nÜrünü kenara ayırın ve devam edin.
TimeRestrictedItemMessage,Bu defa bu ürünü satın alamadınız.\n\nLütfen ürünü kenara koyun ve satın alma işleminize devam edin.
ItemQuantityExceededMessage,Bu ürün için izin verilen miktarı aştınız.\n\nLütfen ürünü kenara koyun ve devam edin.
WeightMismatch,Ürün ağırlığı kontrol ediliyor.\n\nLütfen bekleyin...
ItemQuantityExceeded,Niktar Limiti Aşıldı
WaitForRemoteAssistanceTitle,Uzaktan Görevli
ScotApp_489,NCR SelfServ Checkout’i kullandığınız için teşekkür ederiz.
ScotApp_273,Şu anda tarama yapmayın.\nÜrünü kenara koyun.
ScotApp_431,Geçersiz Müşteri Kartı. Lütfen doğrulayın.
ScotApp_410,için yardım gerekiyor
ScotApp_1739,Lütfen görevlinin gelmesini bekleyin.\nSistem paketlerinizi onaylayamadı.\nPaketleme alanına yanlışlıkla paketler dışında bir şey koyduysanız lütfen alın.
ScotApp_73,Alışveriş Moduna Geri Dön
ScotApp_772,Mevcut işlemi askıya alma talebinde bulunuldu.\nLütfen bu talebi onaylayın veya iptal edin.
ScotApp_530,Hatalı Kart okuma.\nFarklı bir kart kullanın.\n -veya-\nNakit ödeyin.\n -veya-\nYardım isteyin.
ScotApp_524,PIN numarası hatalı girildi.\nÖdeme aygıtında PIN numarasını tekrar girin.
ScotApp_397,Geçerli ürünleri satmak için Yardım Modunu kullan.\nSatılmayacak diğer ürünleri toplayın.
ScotApp_171,"""%s""\n\n %d doğru mu?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,İşlem askıya alındı. Tüm ürünleri kenara koyun.
ScotApp_495,Bu ürün için izin verilen miktarı aştınız.\n\nLütfen ürünü kenara koyun ve devam edin.
ScotApp_529,"Kartı çıkarın, daha sonra...\nFarklı kart yerleştirin.\n -veya-\nNakit ödeyin.\n -veya-\nYardım İsteyin."
ScotApp_275,Şu anda yükleme kartı kullanmayın.\nKartınızı alın.
ScotApp_1891,\Sistem Doğrulaması yapılıyor. \nLütfen bekleyin...
ScotApp_1750, Parmak iziniz işlenirken lütfen bekleyin.
ScotApp_169,Satın alma işlemine devam etmek istiyor musunuz?
ScotApp_415,Müşteri Kartınızı alın.\nKart daha önce yerleştirilmişti.
ScotApp_1793,Bu makine bu sefer yalnızca kredi ve borç kartları kabul edecektir.\nDevam etmek istiyor musunuz?
ScotApp_477,Kuponlarınızı teslim edin.\nFişiniz yazıldıktan sonra:\n--Ürünlerinizi alın.\n-- Fişi ve kuponları ödeme noktasına götürün.
ScotApp_177,Tüm satın alma işlemi iptal edildi. Tüm ürünleri kenara koyun.
ScotApp_656,Lütfen <%s>’i kenara koyun.\nMağaza görevlisi size yardımcı olacak.
ScotApp_1709,Bu defa banknot veya madeni para yerleştirmeyin.\nLütfen iade edilen paranızı alın.\nBanknotlar tarayıcının alt kısmından verilmektedir. 
ScotApp_435,Kazanç türünü seçin.\nYemek fişinizi kullanmak istiyorsanız diğer kazançlardan önce kullanmalısınız.
ScotApp_808,Ürünleri güvenlik etiketlerinin çıkarılması için görevliye götürün.
ScotApp_294,"Mağazadan yardım istemek için ""Yardım İste"" düğmesine basın."
ScotApp_1287,Lütfen bekleyin...\nÜrün ağırlığı kontrol ediliyor.
ScotApp_525,"PIN numarası hatalı girildi.\nKartı çıkarın, daha sonra...\nFarklı kart yerleştirin\n -veya-\nNakit ödeyin"
ScotApp_480,"Lütfen OK’ye basin, sonra islem slipinizi ve ürünleri kasiyere götürün."
ScotApp_1751,* Maksimum ağırlık sınırı aşıldı.\n* Ürünleri paket tartısından kaldırın.
ScotApp_175,"""%s""\n’i fişten çıkarmak istiyor musunuz?"
ScotApp_1746,Parmak izi sunucusuna ulaşılamıyor.\n Lütfen tekrar deneyin.
ScotApp_1839,Lütfen kasiyeri bekleyin.\nŞu anda tarama yapmayın. Ürünü kenara koyun.
ScotApp_501,Lütfen fişi imzalayın ve mağaza onayı için bekleyin.
ScotApp_414,Müşteri Kartınızı alın.\nMevcut satın alma işleminizde indirimli fiyatlar uygulanamıyor. Size postalanacaklar.
ScotApp_563,Hard Totals başlatılırken bir hata oluştu.\nUygulamadan şimdi çıkılacak.
ScotApp_263,Kuponu iptal edilmeden ürün iptal edilemiyor.\nÖnce ürün kuponunu iptal edin.
ScotApp_800,"Lütfen sepetinizi kontrol edin.\n\nEk ürünleri şimdi taratın veya\nödeme yapmak için ""OK"" e basın."
ScotApp_134,Yetkilendirme tamamlanıyor.\nLütfen bekleyin.
ScotApp_620,Toleransı Tuşla
ScotApp_161,"%s\nMiktarı girmek için tuş takımını kullanın ve ""OK"" e basın."
ScotApp_440,Nakit ödeme bakiyeniz gerekenden az.\nKalan %s nakit ödemenizi bu satın alma işleminde kullanmak istiyor musunuz?
ScotApp_184,%s hesabınızdan kesilecek.
ScotApp_274,Şu anda nakit vermeyin.\nNakit paranızı alın.
ScotApp_1744,Cihaz parmak izinizi tanımlayamadı.\n Lütfen tekrar deneyin.
ScotApp_160,Ürün piyasadan çekildi.\nYardım geliyor.\nÜrünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_1795,"Veya ""Yalnızca Kartlar"" ile sınırlayın."
ScotApp_159,Ürün fiyatı bilinmiyor.\nYardım geliyor.\nÜrünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_458,Kazanç türünü seçin.\nBu satın alma işlemi için yemek fişleri kullanılamaz.
ScotApp_1329,Lütfen bekleyin...\nÜrün ağırlığı kontrol ediliyor.\nÇift ağırlık paketlendi.
ScotApp_407,Kart okuma hatası.\n* Farklı kart deneyin.\n -veya-\n* Yardım isteyin
ScotApp_706,"Yemek fişi bakiyeniz bu satın alma işleminin toplamından daha az.\nFarklı bir ödeme metodu kullanmak için ""OK"" e basın."
ScotApp_606,Sil Ağırlık Girişleri
ScotApp_906,Lütfen ürünlerinizi alın.
ScotApp_705,"Nakit ödeme bakiyeniz bu satın alma işleminin toplamından daha az.\nFarklı bir ödeme metodu kullanmak için ""OK"" e basın."
ScotApp_605,Ekle Ağırlık Girişi
ScotApp_405,Kart okuma hatası.\n* Farklı kart deneyin.\n -veya-\n* Nakit ödeyin\n -veya-\n* Yardım isteyin
ScotApp_491,Lütfen kartınızı alın.
ScotApp_818,Lütfen kasiyeri bekleyin.\niçin yardım gerekiyor:
ScotApp_1796,"Veya ""Yalnızca Nakit"" ile sınırlayın."
ScotApp_438,Yemek fişi bakiyeniz gerekenden az.\nKalan %s yemek fişi kazançlarınızı bu satın alma işleminde kullanmak istiyor musunuz?
ScotApp_1596,"%s i %s’inize tercih edilen dil olarak kaydetmek ister misiniz? ""Evet"" veya ""Hayır""ı seçin."
ScotApp_766,%s hesabınızdan kesilecek.
ScotApp_166,Yardım geliyor.\n Lütfen satın alma işleminize devam edin.
ScotApp_413,Müşteri Kartınızı alın.\nİndirimli fiyatlar uygulanacak.
ScotApp_1797,"Düzeltme işlemi hatayı düzeltmedi.\nLütfen tekrar deneyin veya ""Yalnızca Nakit"" ile sınırlayın."
ScotApp_178,Mağaza onayı için bekleyin.\niçin mağaza onayı gerekiyor.
ScotApp_790,Kartınız reddedildi.\nLütfen farklı bir ödeme metodu seçin.
ScotApp_1794,Bu makine bu sefer yalnızca nakit kabul edecektir.\nKredi veya borç işlenmeyecek.\nDevam etmek istiyor musunuz?
ScotApp_412,Bu ürün satın alma limitinizi aşmanıza neden olacak %s.\nLütfen şimdi ödeme yapın ve diğer ürünleri ayrı olarak satın alın.
ScotApp_546,Bu ürünü alabilecek yaşta değilsiniz.\nLütfen ürünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_553,Kuponlar satın alma işleminizin sonunda kabul edilir.\nLütfen kuponları kenara koyun ve devam edin.
ScotApp_211,İşlem gerçekleştiriliyor...\nLütfen bekleyin.
ScotApp_1400,Uzaktan Görevli
ScotApp_1754,Harfler herhangi bir ürüne uymuyor.
ScotApp_1859,"%s’lik dolu kasa satın alınsın mı? ""Evet"" veya ""Hayır’ı"" seçin."
ScotApp_533,Bu defa bu ürünü satın alamadınız.\nLütfen ürünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,%s’iniz için ambalaj seçin.
ScotApp_703,"PIN Tablosunu Kullanın. Ödemeyi iptal etmek için PIN Tablosunda ""İptal Et"" e basın."
ScotApp_125,"Müşterinin doğrum tarihini %s tuşlayıp ""Onayla"" ya basın "
ScotApp_1853,"Müşterinin %s doğum tarihini girin ve ""Giriş"" e basın."
ScotApp_654,Tarih %s formatında olmalı.Değer %s şeklinde girildi.
ScotApp_560,Bu sistem kupon kabul etmiyor.
ScotApp_1788,Is %d doğru mu? \n\n%s poşet ücreti ödeme toplamınıza eklenecek.
ScotApp_1358,%s hediye kartı tutarı satın alma işleminize uygulandı.\n\nHediye kartı bakiyeniz %s.
ScotApp_167,Kupon satılan bir ürünle eşleşmiyor.\n\nBu kupon kabul edilemez.
ScotApp_164,Sistem bu ürün kodunu tanımıyor.\n\nDoğru numarayı girdiğinizden emin olun.
ScotApp_547,Hatalı operatör numarası ve şifresi.\n\nLütfen tekrar deneyin.
ScotApp_442,Satın aldıklarınızın %s’i yemek fişiyle ödenebilir.\n\n%s
ScotApp_443,%s hesabınızdan kesilecek.\n\n Tamam mı?
ScotApp_700,Ürün bu kasada satılamaz.\nYardım geliyor.\n\nÜrünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_165,Sistem bu ürünü tanımıyor.\nYardım geliyor.\n\nÜrünü kenara koyun ve satın alma işleminize devam edin.
ScotApp_182,Bu kupon için girdiğiniz tutar çok yüksek.\n\nBu sistem bu kuponu kabul edemez.
ScotApp_733,Kart reddedildi.\nFarklı bir kart kullanın veya nakit ödeme yapın.
ScotApp_812,NCR SelfServ Checkout’i kullandığınız için teşekkür ederiz.\nLütfen hediye kartınızı kasiyere götürün.
ScotApp_1826,Tercihlerinizin Müşteri Kartınıza kaydedilmesini istiyor musunuz?
ScotApp_1852,Lütfen iptal edilen ürünü paketleme alanından kaldırın.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Lütfen bekleyin...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Yükleyiciyi Ayarla
XM_SetupLoaderV6HW,Yükleyiciyi Ayarla
XM_ProcessingCashTextV6HW,•   Bozuk paraları Bozuk Para Alıcısına Yerleştirin.\n•   Banknotları Banknot Alıcısına Yerleştirin.\n
XM_CoinHoppersV6HW,Bozuk para Hazneleri
XM_CoinBoxV6HW,Bozuk para Kutusu - %d - %s
XM_AddCashLeadthruV6HW,"•   Bozuk paraları Bozuk Para Alıcısına Yerleştirin.\n•   Banknotları Banknot Alıcısına Yerleştirin.\n•   Yeniden doldurma kanalına bozuk para eklemek için ""Bozuk Para Doldurma\n     Kanalını Etkinleştir"" e basın.\n•   Yükleyiciye banknot yüklemek için ""Yükleyiciyi Ayarla"" ya basın."
XM_ConfirmTransferNotesToBaseLevelV6HW,Banknotları Banknot Kutusuna Al\n\nTransfer edilecek miktar: %s\nTransfer edilecek adet: %d\n\nTransfer işlemi birkaç dakika sürebilir.
XM_ConfirmTransferAllNotesV6HW,Tüm Banknotları Banknot Kutusuna Al\n\nTransfer edilecek miktar: %s\nTransfer edilecek adet: %d\n\nTransfer işlemi birkaç dakika sürebilir.
XM_ResetCoinsAllCoinsV6HW,Tüm Bozuk Parayı Çıkar
XM_ResetCoinHopperCountsV6HW,Bozuk Para Haznesi Sayaçlarını Sıfırla
XM_ResetNoteBoxCountsV6HW,Banknot Kutusun Sayacını Sıfırla
XM_MenuNoteBoxTransferV6HW,Banknot Kutusu Transferleri
XM_FinishedAddingCashV6HW,"Nakit yüklemeniz bittiğinde ""OK"" a basın."
XM_OKV6HW,OK
XM_SetupLoaderLeadthruV6HW,"•   yükleyicisi için varsayılan %s para birimi miktarını/adedini girin ve\n      ""OK"" a basın..\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_SetupLoaderNotEmptyV6HW,"\nWhen swapping loaders, because the current loader\ncount is greater than zero, manually remove the notes from the current loader and add the notes to the new loader."
XM_NoteLoaderV6HW,Banknot Yükleyici
XM_EnableCoinInputBowlV6HW,Bozuk Para Giriş Kasesini Etkinleştir
XM_EnableCoinRefillChuteV6HW,Bozuk Para Doldurma Kanalını Etkinleştir
XM_EnableCoinAcceptorV6HW,Bozuk Para Alıcısını Etkinleştir
XM_TopOffCashPrintStatusV6HW,Nakit veya Yazıcı Durumu
XM_TransferOperationPreemptiveV6HW,Banknot transferi yapılıyor... Lütfen bekleyin.\n\nİşlem tamamlanmadan BANKNOT KUTUSUNU veya \n diğer cihazları ÇIKARMAYIN.
XM_TransferOperationInstructionV6HW,Transfer Tamamlandı.\nBanknot Kutusundan tüm banknotları çıkarın ve\nBanknot Kutusunu Sıfırlayın.
XM_PendingDispenseV6HW,Bekleyen dağıtım %d - %s
XM_PendingTransferV6HW,Bekleyen transfer %d - %s
XM_PendingResetV6HW,Bekleyen sıfırlama %d - %s
XM_ConfirmResetNoteBoxV6HW,Banknot Kutusu Adet/Değerlerini Sıfırla\n\nSıfırlanacak Miktar: %s\nSıfırlanacak Adet: %d\n\nBanknot Kutusu sıfırlama sonrası miktar: TL0\nBanknot kutusu sıfırlama sonrası ader: 0
