AmountSaved,Заощаджено
ScotApp_509,509unused
ScotApp_510,Другий підпис
ScotApp_511,Порівняйте підпис покупця з підписом на картці.
ScotApp_512,Візуальний контроль
ScotApp_513,513unused
ScotApp_514,514unused
ScotApp_515,515unused
ScotApp_516,Інший вид оплати
ScotApp_517,Замовлено інший вид оплати.
ScotApp_518,Внесіть гроші.
ScotApp_519,Вартість купона завелика
ScotApp_520,Невідомий код товару
ScotApp_521,Повернена сума:
ScotApp_522,Невірний ПІН
ScotApp_523,Картку не прийнято
ScotApp_526,\nНевірний ПІН-код.\nПроведіть через пристрій іншу картку\n   -або-\nсплатіть готівкою
ScotApp_527,527unused
ScotApp_528,528unused
ScotApp_531,\nЗбій пристрою введення підпису
ScotApp_532,Товар обмеженого відпуску
ScotApp_534,Товари з відпуском в обмежені години
ScotApp_535,   Час відкликання
ScotApp_536,Приймач монет
ScotApp_537,537unused
ScotApp_538,538unused
ScotApp_539,539unused
ScotApp_540,540unused
ScotApp_541,Друк штрих-коду оператора
ScotApp_542,Штрих-код оператора не створено.
ScotApp_543,Максимальна кількість символів у коді оператора: %d.
ScotApp_544,Максимальна кількість символів у паролі оператора: %d.
ScotApp_545,Товар обмеженого відпуску
ScotApp_548,548unused
ScotApp_549,549unused
ScotApp_550,550unused
ScotApp_551,551unused
ScotApp_552,Код і пароль оператора не можуть починатися нулем.
ScotApp_554,Не проводьте зараз кредитні картки через пристрій.
ScotApp_555,Інший вид оплати
ScotApp_556,Операцію не відкладено.
ScotApp_557,Товари з обмеженням кількості
ScotApp_558,Товар з обмеженням кількості
ScotApp_559,Купони не приймаються
ScotApp_561,Відкласти купон
ScotApp_562,Продаж купонів - у режимі “Касир”
ScotApp_564,564unused
ScotApp_565,Вхід до магазину
ScotApp_566,566unused
ScotApp_567,Ввести
ScotApp_568,Очистити
ScotApp_569,Введіть код
ScotApp_570,570unused
ScotApp_571,Введіть кількість і натисніть “Ввести”.
ScotApp_572,Введіть код товару і натисніть “Ввести”.
ScotApp_573,Введіть ім’я користувача і натисніть “Ввести”.
ScotApp_574,Введіть пароль і натисніть “Ввести”.
ScotApp_575,Закінчити оплату готівкою. Несплачений залишок.
ScotApp_576,Почати оплату карткою.
ScotApp_577,Почати оплату готівкою.
ScotApp_578,Закінчити оплату карткою. Решта.
ScotApp_579,579unused
ScotApp_580,Спроба скасувати товар перед скасуванням купона на нього.
ScotApp_581,Операцію не відкладено
ScotApp_582,Оплату виконано.
ScotApp_583,Картку не прийнято.
ScotApp_584,Соц. карту не прийнято.
ScotApp_585,585unused
ScotApp_586,Купони: %0.0ld/$%0.2lf
ScotApp_587,Підпис
ScotApp_588,Завантаження Device Factory...
ScotApp_589,Device Factory завантажено.
ScotApp_590,Кінець роботи Device Factory.
ScotApp_591,Завантаження NCR SelfServ Checkout Encryptor...
ScotApp_592,NCR SelfServ Checkout Encryptor завантажено.
ScotApp_593,Завантаження NCR SelfServ Checkout SigCap...
ScotApp_594,NCR SelfServ Checkout SigCap завантажено.
ScotApp_595,Завантаження NCR SelfServ Checkout AuxDisp...
ScotApp_596,NCR SelfServ Checkout AuxDisp завантажено.
ScotApp_597,Завантаження NCR SelfServ Checkout Forms %d...
ScotApp_598,Форму %d не збережено!
ScotApp_599,Перезапуск Forms Device...
ScotApp_600,Заходи контролю
ScotApp_601,601unused
ScotApp_602,Змінити чи додати\nвагу
ScotApp_603,Змінити чи додати вагу
ScotApp_604,Відскануйте товар.
ScotApp_607,Задати обов’язкове пакування
ScotApp_608,Задати порівняння ваги
ScotApp_609,Змінити допуск на вагу
ScotApp_610,Вага товару:
ScotApp_611,Виберіть потрібну функцію.
ScotApp_612,Додати вагу
ScotApp_613,Покладіть товар на пакувальні ваги.
ScotApp_614,Обов’язкове пакування
ScotApp_615,"Виберіть, чи є пакування товару обов’язковим (чи має покупець упакувати товар)."
ScotApp_616,Порівняння ваги
ScotApp_617,Виберіть параметри порівняння ваги (порівняння ваги товару з наявними значеннями).
ScotApp_618,Допуск на вагу
ScotApp_619,"Щоб змінити допуск, оберіть <Вказати допуск> або <Автоматично>."
ScotApp_621,Автоматично
ScotApp_622,Змінити допуск для штрих-коду
ScotApp_623,Введіть на клавіатурі інший допуск і натисніть “Ввести”.
ScotApp_624,Введено невірний допуск
ScotApp_625,Введіть допуск на вагу від <%s> до <%s>.
ScotApp_626,Допуск:
ScotApp_627,Операція №:
ScotApp_628,Каса №: %d
ScotApp_629,Разом:
ScotApp_630,№ кредитної картки:
ScotApp_631,Власник:
ScotApp_632,632unused
ScotApp_633,Підпис:
ScotApp_634,634unused
ScotApp_635,Введіть дату народження
ScotApp_636,Контроль відключено.
ScotApp_637,"Контроль відключено, останню дію скасовано."
ScotApp_638,Актуальна інформація про допуск з WLDB
ScotApp_639,Очік. вага   Порівняння ваги
ScotApp_640,Наявна вага у WLDB
ScotApp_641,Сер.вагаПідтв.    Мітка     Виддоп.     Сум.доп.     Дата
ScotApp_642,Товар додано. Відскануйте наступний.
ScotApp_643,Товар видалено. Відскануйте наступний.
ScotApp_644,-------------------------------------------------------------------
ScotApp_645,Знов покладіть відсканований товар на пакувальні ваги.
ScotApp_646,Т
ScotApp_647,Н
ScotApp_648,Штрих-код
